day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
5;0;DJEMBES;13409;63;;;;;13410;63;;;;;13409.5;0.0
5;0;VOLCANIC_ROCK;10108;133;10107;47;;;10109;133;10110;47;;;10108.5;0.0
5;0;MAGNIFICENT_MACARONS;738;12;736;19;731;20;745;6;752;20;757;19;741.5;0.0
5;0;VOLCANIC_ROCK_VOUCHER_10500;0;21;;;;;2;21;;;;;1.0;0.0
5;0;CROISSANTS;4270;129;;;;;4272;129;;;;;4271.0;0.0
5;0;PICNIC_BASKET2;30383;45;;;;;30389;21;30390;24;;;30386.0;0.0
5;0;PICNIC_BASKET1;58438;2;58437;19;58436;24;58447;2;58448;19;58449;24;58442.5;0.0
5;0;VOLCANIC_ROCK_VOUCHER_9500;608;21;;;;;609;21;;;;;608.5;0.0
5;0;VOLCANIC_ROCK_VOUCHER_9750;359;21;;;;;360;21;;;;;359.5;0.0
5;0;KELP;2011;22;;;;;2014;2;2015;20;;;2012.5;0.0
5;0;SQUID_INK;1899;22;;;;;1902;22;;;;;1900.5;0.0
5;0;VOLCANIC_ROCK_VOUCHER_10000;125;21;;;;;126;21;;;;;125.5;0.0
5;0;JAMS;6507;199;;;;;6509;199;;;;;6508.0;0.0
5;0;RAINFOREST_RESIN;9992;35;;;;;10008;35;;;;;10000.0;0.0
5;0;VOLCANIC_ROCK_VOUCHER_10250;11;21;;;;;12;21;;;;;11.5;0.0
5;100;VOLCANIC_ROCK_VOUCHER_10250;11;19;;;;;12;19;;;;;11.5;0.0
5;100;SQUID_INK;1899;28;;;;;1900;5;1902;28;;;1899.5;0.0
5;100;VOLCANIC_ROCK;10110;109;10109;57;;;10112;166;;;;;10111.0;0.0
5;100;VOLCANIC_ROCK_VOUCHER_10500;0;19;;;;;2;19;;;;;1.0;0.0
5;100;RAINFOREST_RESIN;9992;30;;;;;10008;30;;;;;10000.0;0.0
5;100;DJEMBES;13409;20;13408;33;;;13410;53;;;;;13409.5;0.0
5;100;KELP;2011;28;;;;;2012;5;2014;1;2015;27;2011.5;0.0
5;100;JAMS;6508;231;;;;;6510;231;;;;;6509.0;0.0
5;100;VOLCANIC_ROCK_VOUCHER_10000;127;19;;;;;128;19;;;;;127.5;0.0
