day;timestamp;product;fair_value;position;cash;mtm_pnl
1;0;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;0;INTARIAN_PEPPER_ROOT;13000.0;11;-143077.0;-77.0
1;100;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;100;INTARIAN_PEPPER_ROOT;13000.1;11;-143077.0;-75.89999999999418
1;200;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;200;INTARIAN_PEPPER_ROOT;13000.2;19;-247133.0;-129.19999999998254
1;300;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;300;INTARIAN_PEPPER_ROOT;13000.3;30;-390210.0;-201.0
1;400;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;400;INTARIAN_PEPPER_ROOT;13000.4;40;-520280.0;-264.0
1;500;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;500;INTARIAN_PEPPER_ROOT;13000.5;48;-624336.0;-312.0
1;600;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;600;INTARIAN_PEPPER_ROOT;13000.6;59;-767413.0;-377.5999999999767
1;700;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;700;INTARIAN_PEPPER_ROOT;13000.7;70;-910490.0;-441.0
1;800;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;800;INTARIAN_PEPPER_ROOT;13000.8;70;-910490.0;-434.0
1;900;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;900;INTARIAN_PEPPER_ROOT;13000.9;70;-910490.0;-427.0
1;1000;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;1000;INTARIAN_PEPPER_ROOT;13001.0;70;-910490.0;-420.0
1;1100;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;1100;INTARIAN_PEPPER_ROOT;13001.1;75;-975470.0;-387.5
1;1200;ASH_COATED_OSMIUM;10001.0;7;-69948.0;59.0
1;1200;INTARIAN_PEPPER_ROOT;13001.2;75;-975470.0;-380.0
1;1300;ASH_COATED_OSMIUM;10001.0;7;-69948.0;59.0
1;1300;INTARIAN_PEPPER_ROOT;13001.3;75;-975470.0;-372.5
1;1400;ASH_COATED_OSMIUM;10001.0;7;-69948.0;59.0
1;1400;INTARIAN_PEPPER_ROOT;13001.4;75;-975470.0;-365.0
1;1500;ASH_COATED_OSMIUM;10001.0;7;-69948.0;59.0
1;1500;INTARIAN_PEPPER_ROOT;13001.5;75;-975470.0;-357.5
1;1600;ASH_COATED_OSMIUM;10001.0;13;-129912.0;101.0
1;1600;INTARIAN_PEPPER_ROOT;13001.6;75;-975470.0;-350.0
1;1700;ASH_COATED_OSMIUM;10001.0;8;-79872.0;136.0
