session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2,product_stats_json
0,101300.0,0.0,0.0,0,0,0.0,0.0,10.162423715947018,0.9998654432048522,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17264.0,""cash"":-782816.0,""position"":80,""slope_per_step"":1.6947182778631829,""r_squared"":0.9924713752472144},""INTARIAN_PEPPER_ROOT"":{""pnl"":84036.0,""cash"":-875956.0,""position"":80,""slope_per_step"":8.467705438083854,""r_squared"":0.9999711323275186}}"
1,96471.90000000002,0.0,0.0,0,0,0.0,0.0,9.669117393765589,0.9999016079784785,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":15039.0,""cash"":-695032.0,""position"":71,""slope_per_step"":1.4826522735545227,""r_squared"":0.9897888622147423},""INTARIAN_PEPPER_ROOT"":{""pnl"":81432.90000000002,""cash"":-841560.0,""position"":71,""slope_per_step"":8.18646512021106,""r_squared"":0.999911536704427}}"
2,100195.0,0.0,0.0,0,0,0.0,0.0,10.056773976679745,0.9997209062162985,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17432.0,""cash"":-632633.0,""position"":65,""slope_per_step"":1.726919195809192,""r_squared"":0.9899165671513004},""INTARIAN_PEPPER_ROOT"":{""pnl"":82763.0,""cash"":-1037229.0,""position"":80,""slope_per_step"":8.32985478087052,""r_squared"":0.9999739186292376}}"
3,100548.0,0.0,0.0,0,0,0.0,0.0,10.083361065522011,0.9999099477675962,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17182.0,""cash"":-722892.0,""position"":74,""slope_per_step"":1.6909650353236503,""r_squared"":0.9980974565483978},""INTARIAN_PEPPER_ROOT"":{""pnl"":83366.0,""cash"":-876626.0,""position"":80,""slope_per_step"":8.392396030198361,""r_squared"":0.9999828838412396}}"
4,100379.0,0.0,0.0,0,0,0.0,0.0,10.166480840630603,0.9999618560266255,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17994.0,""cash"":-332041.0,""position"":35,""slope_per_step"":1.8675595705475958,""r_squared"":0.9987578607608202},""INTARIAN_PEPPER_ROOT"":{""pnl"":82385.0,""cash"":-827608.0,""position"":70,""slope_per_step"":8.298921270083023,""r_squared"":0.9999929158294891}}"
5,101046.0,0.0,0.0,0,0,0.0,0.0,10.18702353514005,0.9999457454708026,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82732.0,""cash"":-1037260.0,""position"":80,""slope_per_step"":8.345874053154555,""r_squared"":0.9999665419471844},""ASH_COATED_OSMIUM"":{""pnl"":18314.0,""cash"":-431731.0,""position"":45,""slope_per_step"":1.8411494819854948,""r_squared"":0.9983399109980656}}"
6,99137.0,0.0,0.0,0,0,0.0,0.0,10.027142673845432,0.9999446405999061,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16624.0,""cash"":-563434.0,""position"":58,""slope_per_step"":1.6933389488773896,""r_squared"":0.9991407485466707},""INTARIAN_PEPPER_ROOT"":{""pnl"":82513.0,""cash"":-877479.0,""position"":80,""slope_per_step"":8.333803724968057,""r_squared"":0.9999793394298718}}"
7,98857.5,0.0,0.0,0,0,0.0,0.0,9.894090760580717,0.9997345934103039,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16268.0,""cash"":146281.0,""position"":-13,""slope_per_step"":1.5963728755837288,""r_squared"":0.9953157709150404},""INTARIAN_PEPPER_ROOT"":{""pnl"":82589.5,""cash"":-892403.0,""position"":75,""slope_per_step"":8.29771788499698,""r_squared"":0.9999471193009615}}"
8,100719.59999999998,0.0,0.0,0,0,0.0,0.0,10.128548413101031,0.9999583023109582,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":83199.59999999998,""cash"":-952793.0,""position"":74,""slope_per_step"":8.353250173354073,""r_squared"":0.9999747734927514},""ASH_COATED_OSMIUM"":{""pnl"":17520.0,""cash"":-612543.0,""position"":63,""slope_per_step"":1.7752982397469823,""r_squared"":0.9985016411440998}}"
9,98532.40000000002,0.0,0.0,0,0,0.0,0.0,9.95333448451012,0.9999120182589195,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82469.40000000002,""cash"":-829523.0,""position"":76,""slope_per_step"":8.31968135701759,""r_squared"":0.9999765837549077},""ASH_COATED_OSMIUM"":{""pnl"":16063.0,""cash"":-744013.0,""position"":76,""slope_per_step"":1.6336531274925312,""r_squared"":0.9957512460022783}}"
10,98664.0,0.0,0.0,0,0,0.0,0.0,9.930530611561702,0.9998173760010791,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16510.0,""cash"":-353527.0,""position"":37,""slope_per_step"":1.651886317080863,""r_squared"":0.9930751425413971},""INTARIAN_PEPPER_ROOT"":{""pnl"":82154.0,""cash"":-957838.0,""position"":80,""slope_per_step"":8.278644294480843,""r_squared"":0.9999914650466281}}"
11,97484.0,0.0,0.0,0,0,0.0,0.0,9.71440941890867,0.9999003534955078,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":81896.0,""cash"":-1038096.0,""position"":80,""slope_per_step"":8.209335084895937,""r_squared"":0.9999782396007806},""ASH_COATED_OSMIUM"":{""pnl"":15588.0,""cash"":-714485.0,""position"":73,""slope_per_step"":1.5050743340127433,""r_squared"":0.9975882763371322}}"
12,99417.5,0.0,0.0,0,0,0.0,0.0,9.957450777659123,0.9998899569110895,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16375.0,""cash"":-633690.0,""position"":65,""slope_per_step"":1.6261068239470682,""r_squared"":0.9970363881047976},""INTARIAN_PEPPER_ROOT"":{""pnl"":83042.5,""cash"":-816950.0,""position"":75,""slope_per_step"":8.33134395371204,""r_squared"":0.9999772769478819}}"
13,100552.0,0.0,0.0,0,0,0.0,0.0,10.12810546158766,0.9999087246564105,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18234.0,""cash"":-711839.0,""position"":73,""slope_per_step"":1.810412914058129,""r_squared"":0.9986932822700177},""INTARIAN_PEPPER_ROOT"":{""pnl"":82318.0,""cash"":-957674.0,""position"":80,""slope_per_step"":8.31769254752953,""r_squared"":0.9999583590176888}}"
14,100620.30000000005,0.0,0.0,0,0,0.0,0.0,10.091534621610718,0.9999725201246762,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18403.0,""cash"":-71606.0,""position"":9,""slope_per_step"":1.7824674830926748,""r_squared"":0.9984168737959342},""INTARIAN_PEPPER_ROOT"":{""pnl"":82217.30000000005,""cash"":-995775.0,""position"":77,""slope_per_step"":8.309067138518042,""r_squared"":0.9999842930863636}}"
15,100880.40000000002,0.0,0.0,0,0,0.0,0.0,10.137727333557054,0.9999249116776879,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":83280.40000000002,""cash"":-828712.0,""position"":76,""slope_per_step"":8.350501951528814,""r_squared"":0.9999669119668605},""ASH_COATED_OSMIUM"":{""pnl"":17600.0,""cash"":-442446.0,""position"":46,""slope_per_step"":1.7872253820282538,""r_squared"":0.9989264466954791}}"
