session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2,product_stats_json
0,101106.0,0.0,0.0,0,0,0.0,0.0,10.145022816757614,0.999885848738882,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17264.0,""cash"":-782816.0,""position"":80,""slope_per_step"":1.6947182778631829,""r_squared"":0.9924713752472144},""INTARIAN_PEPPER_ROOT"":{""pnl"":83842.0,""cash"":-876150.0,""position"":80,""slope_per_step"":8.45030453889445,""r_squared"":0.9999607269985776}}"
1,96327.90000000002,0.0,0.0,0,0,0.0,0.0,9.662187387359683,0.9999062067419715,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":81288.90000000002,""cash"":-841704.0,""position"":71,""slope_per_step"":8.179535113805166,""r_squared"":0.9998672677514139},""ASH_COATED_OSMIUM"":{""pnl"":15039.0,""cash"":-695032.0,""position"":71,""slope_per_step"":1.4826522735545227,""r_squared"":0.9897888622147423}}"
2,100127.0,0.0,0.0,0,0,0.0,0.0,10.050745094763846,0.9997381830862552,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82695.0,""cash"":-1037297.0,""position"":80,""slope_per_step"":8.323825898954635,""r_squared"":0.9999736182001991},""ASH_COATED_OSMIUM"":{""pnl"":17432.0,""cash"":-632633.0,""position"":65,""slope_per_step"":1.726919195809192,""r_squared"":0.9899165671513004}}"
3,100241.0,0.0,0.0,0,0,0.0,0.0,10.063157008384955,0.9999363947370268,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17182.0,""cash"":-722892.0,""position"":74,""slope_per_step"":1.6909650353236503,""r_squared"":0.9980974565483978},""INTARIAN_PEPPER_ROOT"":{""pnl"":83059.0,""cash"":-876933.0,""position"":80,""slope_per_step"":8.37219197306132,""r_squared"":0.9999905138161342}}"
4,100144.0,0.0,0.0,0,0,0.0,0.0,10.15788757052406,0.9999517806556516,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82150.0,""cash"":-827843.0,""position"":70,""slope_per_step"":8.290327999976475,""r_squared"":0.9999917427456426},""ASH_COATED_OSMIUM"":{""pnl"":17994.0,""cash"":-332041.0,""position"":35,""slope_per_step"":1.8675595705475958,""r_squared"":0.9987578607608202}}"
5,100977.0,0.0,0.0,0,0,0.0,0.0,10.174462985803435,0.999949489211073,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82663.0,""cash"":-1037329.0,""position"":80,""slope_per_step"":8.333313503817955,""r_squared"":0.9999762336773153},""ASH_COATED_OSMIUM"":{""pnl"":18314.0,""cash"":-431731.0,""position"":45,""slope_per_step"":1.8411494819854948,""r_squared"":0.9983399109980656}}"
6,98867.0,0.0,0.0,0,0,0.0,0.0,10.004385128384246,0.9999436020152338,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82243.0,""cash"":-877749.0,""position"":80,""slope_per_step"":8.31104617950687,""r_squared"":0.9999818872061902},""ASH_COATED_OSMIUM"":{""pnl"":16624.0,""cash"":-563434.0,""position"":58,""slope_per_step"":1.6933389488773896,""r_squared"":0.9991407485466707}}"
7,98904.5,0.0,0.0,0,0,0.0,0.0,9.901991368523529,0.9997400389413577,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16268.0,""cash"":146281.0,""position"":-13,""slope_per_step"":1.5963728755837288,""r_squared"":0.9953157709150404},""INTARIAN_PEPPER_ROOT"":{""pnl"":82636.5,""cash"":-892356.0,""position"":75,""slope_per_step"":8.3056184929398,""r_squared"":0.999949855662132}}"
8,100416.59999999998,0.0,0.0,0,0,0.0,0.0,10.096477648150515,0.9999613209085767,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17520.0,""cash"":-612543.0,""position"":63,""slope_per_step"":1.7752982397469823,""r_squared"":0.9985016411440998},""INTARIAN_PEPPER_ROOT"":{""pnl"":82896.59999999998,""cash"":-953096.0,""position"":74,""slope_per_step"":8.32117940840356,""r_squared"":0.9999792729875162}}"
9,98399.40000000002,0.0,0.0,0,0,0.0,0.0,9.950880977141987,0.9999044174197377,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82336.40000000002,""cash"":-829656.0,""position"":76,""slope_per_step"":8.317227849649454,""r_squared"":0.9999791203046073},""ASH_COATED_OSMIUM"":{""pnl"":16063.0,""cash"":-744013.0,""position"":76,""slope_per_step"":1.6336531274925312,""r_squared"":0.9957512460022783}}"
