day;timestamp;product;fair_value;position;cash;mtm_pnl
-1;0;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
-1;0;INTARIAN_PEPPER_ROOT;11000.0;0;0.0;0.0
-1;100;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;100;INTARIAN_PEPPER_ROOT;11000.1;9;-99063.0;-62.09999999999127
-1;200;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;200;INTARIAN_PEPPER_ROOT;11000.2;20;-220140.0;-136.0
-1;300;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;300;INTARIAN_PEPPER_ROOT;11000.3;32;-352224.0;-214.40000000002328
-1;400;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;400;INTARIAN_PEPPER_ROOT;11000.4;43;-473301.0;-283.79999999998836
-1;500;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;500;INTARIAN_PEPPER_ROOT;11000.5;52;-572364.0;-338.0
-1;600;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;600;INTARIAN_PEPPER_ROOT;11000.6;60;-660420.0;-384.0
-1;700;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;700;INTARIAN_PEPPER_ROOT;11000.7;71;-781497.0;-447.29999999993015
-1;800;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;800;INTARIAN_PEPPER_ROOT;11000.8;71;-781497.0;-440.20000000006985
-1;900;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;900;INTARIAN_PEPPER_ROOT;11000.9;71;-781497.0;-433.0999999999767
-1;1000;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;1000;INTARIAN_PEPPER_ROOT;11001.0;71;-781497.0;-426.0
-1;1100;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;1100;INTARIAN_PEPPER_ROOT;11001.1;71;-781497.0;-418.9000000000233
-1;1200;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;1200;INTARIAN_PEPPER_ROOT;11001.2;71;-781497.0;-411.79999999993015
-1;1300;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;1300;INTARIAN_PEPPER_ROOT;11001.3;71;-781497.0;-404.70000000006985
-1;1400;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;1400;INTARIAN_PEPPER_ROOT;11001.4;71;-781497.0;-397.5999999999767
-1;1500;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;1500;INTARIAN_PEPPER_ROOT;11001.5;71;-781497.0;-390.5
-1;1600;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;1600;INTARIAN_PEPPER_ROOT;11001.6;71;-781497.0;-383.4000000000233
-1;1700;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;1700;INTARIAN_PEPPER_ROOT;11001.7;71;-781497.0;-376.29999999993015
-1;1800;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;1800;INTARIAN_PEPPER_ROOT;11001.8;74;-814485.0;-351.80000000004657
-1;1900;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;1900;INTARIAN_PEPPER_ROOT;11001.9;74;-814485.0;-344.4000000000233
-1;2000;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;2000;INTARIAN_PEPPER_ROOT;11002.0;74;-814485.0;-337.0
-1;2100;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;2100;INTARIAN_PEPPER_ROOT;11002.1;74;-814485.0;-329.5999999999767
-1;2200;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;2200;INTARIAN_PEPPER_ROOT;11002.2;74;-814485.0;-322.19999999995343
-1;2300;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;2300;INTARIAN_PEPPER_ROOT;11002.3;74;-814485.0;-314.80000000004657
-1;2400;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;2400;INTARIAN_PEPPER_ROOT;11002.4;74;-814485.0;-307.4000000000233
-1;2500;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;2500;INTARIAN_PEPPER_ROOT;11002.5;74;-814485.0;-300.0
-1;2600;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;2600;INTARIAN_PEPPER_ROOT;11002.6;74;-814485.0;-292.5999999999767
-1;2700;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;2700;INTARIAN_PEPPER_ROOT;11002.7;74;-814485.0;-285.19999999995343
-1;2800;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;2800;INTARIAN_PEPPER_ROOT;11002.8;74;-814485.0;-277.80000000004657
-1;2900;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;2900;INTARIAN_PEPPER_ROOT;11002.9;67;-737429.0;-234.70000000006985
-1;3000;ASH_COATED_OSMIUM;10001.0;4;-39976.0;28.0
-1;3000;INTARIAN_PEPPER_ROOT;11003.0;67;-737429.0;-228.0
