session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2,product_stats_json
0,101282.0,0.0,0.0,0,0,0.0,0.0,10.162303895630815,0.9998656754331557,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17264.0,""cash"":-782816.0,""position"":80,""slope_per_step"":1.6947182778631829,""r_squared"":0.9924713752472144},""INTARIAN_PEPPER_ROOT"":{""pnl"":84018.0,""cash"":-875974.0,""position"":80,""slope_per_step"":8.467585617767652,""r_squared"":0.9999707430191292}}"
1,96462.90000000002,0.0,0.0,0,0,0.0,0.0,9.668986392976679,0.9999019188000559,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":15039.0,""cash"":-695032.0,""position"":71,""slope_per_step"":1.4826522735545227,""r_squared"":0.9897888622147423},""INTARIAN_PEPPER_ROOT"":{""pnl"":81423.90000000002,""cash"":-841569.0,""position"":71,""slope_per_step"":8.186334119422156,""r_squared"":0.9999111633439824}}"
2,100171.0,0.0,0.0,0,0,0.0,0.0,10.05664813723369,0.9997211616211391,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82739.0,""cash"":-1037253.0,""position"":80,""slope_per_step"":8.32972894142447,""r_squared"":0.9999736956841824},""ASH_COATED_OSMIUM"":{""pnl"":17432.0,""cash"":-632633.0,""position"":65,""slope_per_step"":1.726919195809192,""r_squared"":0.9899165671513004}}"
3,100507.0,0.0,0.0,0,0,0.0,0.0,10.08335388148014,0.9999099716331623,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17182.0,""cash"":-722892.0,""position"":74,""slope_per_step"":1.6909650353236503,""r_squared"":0.9980974565483978},""INTARIAN_PEPPER_ROOT"":{""pnl"":83325.0,""cash"":-876667.0,""position"":80,""slope_per_step"":8.39238884615649,""r_squared"":0.999982913813651}}"
4,100379.0,0.0,0.0,0,0,0.0,0.0,10.166509327546093,0.9999619321194482,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17994.0,""cash"":-332041.0,""position"":35,""slope_per_step"":1.8675595705475958,""r_squared"":0.9987578607608202},""INTARIAN_PEPPER_ROOT"":{""pnl"":82385.0,""cash"":-827608.0,""position"":70,""slope_per_step"":8.298949756998502,""r_squared"":0.9999929865685048}}"
5,101046.0,0.0,0.0,0,0,0.0,0.0,10.187059143784406,0.999945759216926,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82732.0,""cash"":-1037260.0,""position"":80,""slope_per_step"":8.345909661798911,""r_squared"":0.999966582930048},""ASH_COATED_OSMIUM"":{""pnl"":18314.0,""cash"":-431731.0,""position"":45,""slope_per_step"":1.8411494819854948,""r_squared"":0.9983399109980656}}"
6,99087.0,0.0,0.0,0,0,0.0,0.0,10.027098112912386,0.9999446207921501,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16624.0,""cash"":-563434.0,""position"":58,""slope_per_step"":1.6933389488773896,""r_squared"":0.9991407485466707},""INTARIAN_PEPPER_ROOT"":{""pnl"":82463.0,""cash"":-877529.0,""position"":80,""slope_per_step"":8.33375916403501,""r_squared"":0.9999792962024978}}"
7,98857.5,0.0,0.0,0,0,0.0,0.0,9.894133490953955,0.9997346774458628,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82589.5,""cash"":-892403.0,""position"":75,""slope_per_step"":8.297760615370201,""r_squared"":0.999947239120985},""ASH_COATED_OSMIUM"":{""pnl"":16268.0,""cash"":146281.0,""position"":-13,""slope_per_step"":1.5963728755837288,""r_squared"":0.9953157709150404}}"
8,100708.59999999998,0.0,0.0,0,0,0.0,0.0,10.128309169129839,0.9999580727233215,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17520.0,""cash"":-612543.0,""position"":63,""slope_per_step"":1.7752982397469823,""r_squared"":0.9985016411440998},""INTARIAN_PEPPER_ROOT"":{""pnl"":83188.59999999998,""cash"":-952804.0,""position"":74,""slope_per_step"":8.35301092938289,""r_squared"":0.9999748904112102}}"
9,98433.40000000002,0.0,0.0,0,0,0.0,0.0,9.953295698668928,0.9999120321967703,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16063.0,""cash"":-744013.0,""position"":76,""slope_per_step"":1.6336531274925312,""r_squared"":0.9957512460022783},""INTARIAN_PEPPER_ROOT"":{""pnl"":82370.40000000002,""cash"":-829622.0,""position"":76,""slope_per_step"":8.319642571176406,""r_squared"":0.9999764895815016}}"
