sub,timestamp,product,side,size,price,mid_at_fill,edge_at_fill,mid_plus_10,mid_plus_50,mid_plus_200,adverse_N2_M10,adverse_N4_M50,realized_pnl_fifo,inv_before,inv_after
296878,400,ASH_COATED_OSMIUM,SELL,8,10010.0,10013.0,-3.0,10009.0,10010.5,10004.5,0,0,0.0,0,-8
296878,500,INTARIAN_PEPPER_ROOT,BUY,9,13007.0,13000.0,-7.0,13001.0,13005.5,13022.0,0,0,0.0,0,9
296878,1400,INTARIAN_PEPPER_ROOT,BUY,10,13008.0,12999.5,-8.5,13002.0,13006.0,13021.0,0,0,0.0,9,19
296878,1500,INTARIAN_PEPPER_ROOT,BUY,11,13008.0,13001.0,-7.0,13002.5,13006.5,13023.0,0,0,0.0,19,30
296878,2700,INTARIAN_PEPPER_ROOT,BUY,8,12998.0,12997.0,-1.0,13003.5,13009.5,13023.0,0,0,0.0,30,38
296878,3400,INTARIAN_PEPPER_ROOT,BUY,12,13010.0,13003.0,-7.0,13004.5,13006.5,13025.0,0,0,0.0,38,50
296878,3600,ASH_COATED_OSMIUM,SELL,3,10016.0,10007.5,8.5,10010.0,10007.5,10004.0,1,0,0.0,-8,-11
296878,4200,ASH_COATED_OSMIUM,SELL,2,10016.0,10009.0,7.0,10007.5,10007.0,10004.5,0,0,0.0,-11,-13
296878,5000,INTARIAN_PEPPER_ROOT,BUY,5,12999.0,13006.5,7.5,13006.0,13011.5,13018.0,0,0,0.0,50,55
296878,5400,INTARIAN_PEPPER_ROOT,BUY,8,13012.0,13005.0,-7.0,13006.0,13010.0,13025.0,0,0,0.0,55,63
296878,5700,INTARIAN_PEPPER_ROOT,BUY,5,13001.0,13000.0,-1.0,13008.5,13014.0,13026.0,0,0,0.0,63,68
296878,7400,INTARIAN_PEPPER_ROOT,BUY,10,13014.0,13007.0,-7.0,13006.5,13014.0,13027.0,0,0,0.0,68,78
296878,9900,INTARIAN_PEPPER_ROOT,BUY,2,13005.0,13004.0,-1.0,13011.0,13015.0,13030.0,0,0,0.0,78,80
296878,10000,ASH_COATED_OSMIUM,BUY,8,10000.0,10007.0,7.0,10002.5,10001.0,9999.0,1,1,80.0,-13,-5
296878,10700,ASH_COATED_OSMIUM,SELL,5,10009.0,10013.5,-4.5,10007.0,10006.0,10000.0,0,0,0.0,-5,-10
296878,12100,ASH_COATED_OSMIUM,BUY,5,9999.0,10006.0,7.0,10005.0,10006.0,10001.0,0,0,85.0,-10,-5
