depth_ask_at,depth_ask_lag1,depth_ask_lag10,depth_ask_lag3,depth_ask_lag5,depth_bid_at,depth_bid_lag1,depth_bid_lag10,depth_bid_lag3,depth_bid_lag5,imb_at,imb_delta_5_1,imb_lag1,imb_lag10,imb_lag3,imb_lag5,label,mid_lag1,mid_lag10,mid_lag3,mid_lag5,mid_pre5,price,product,qty,side,spread_at,spread_lag1,spread_lag10,spread_lag3,spread_lag5,ts
30,32,13,,36,44,32,23,,36,-0.36363636363636365,0.0,0.0,0.2777777777777778,,0.0,R1,10009.0,10007.0,,10008.5,0.5,10001.0,ASH_COATED_OSMIUM,3,sell,18,16,18,,17,1000
25,30,,24,31,15,30,,24,31,0.2,0.0,0.0,,0.0,0.0,R1,13010.0,,13010.0,13010.0,0.0,13017.0,INTARIAN_PEPPER_ROOT,6,buy,17,14,,14,14,10100
38,27,,30,17,33,12,,30,11,0.2857142857142857,0.21428571428571427,0.0,,0.0,-0.21428571428571427,R1,13020.0,,13020.0,13021.5,-1.5,13016.0,INTARIAN_PEPPER_ROOT,2,buy,3,14,,14,17,20200
23,26,35,34,36,23,26,35,34,36,0.0,0.0,0.0,0.0,0.0,0.0,R1,13022.0,13021.0,13022.0,13021.0,1.0,13015.0,INTARIAN_PEPPER_ROOT,3,sell,14,14,14,14,14,21900
33,24,33,30,18,16,16,33,30,11,-0.5,0.5747126436781609,0.3333333333333333,0.0,0.0,-0.2413793103448276,R1,13030.0,13031.0,13031.0,13032.5,-2.5,13035.0,INTARIAN_PEPPER_ROOT,4,sell,4,18,14,14,17,31700
15,31,20,23,34,9,31,29,33,25,-0.25,-0.47058823529411764,0.0,-0.3793103448275862,-0.3939393939393939,0.47058823529411764,R1,13040.0,13041.0,13041.5,13038.5,1.5,13033.0,INTARIAN_PEPPER_ROOT,6,sell,18,14,18,17,17,40400
27,,31,27,32,27,,31,27,32,0.0,,,0.0,0.0,0.0,R1,,13040.0,13041.0,13041.0,,13034.0,INTARIAN_PEPPER_ROOT,7,sell,14,,14,14,14,41300
29,27,10,16,21,34,27,29,12,33,0.38461538461538464,0.2727272727272727,0.0,0.0,-0.14285714285714285,-0.2727272727272727,R1,13043.5,13043.0,13045.0,13044.5,-1.0,13039.0,INTARIAN_PEPPER_ROOT,4,buy,2,15,14,18,17,43600
15,12,30,,9,34,12,30,,16,0.4666666666666667,-0.28,0.0,0.0,,0.28,R1,13048.0,13047.0,,13045.5,2.5,13043.0,INTARIAN_PEPPER_ROOT,4,buy,2,14,14,,17,47700
34,29,29,32,26,34,29,10,24,26,0.0,0.0,0.0,0.0,0.0,0.0,R1,13049.5,13049.0,13051.0,13049.0,0.5,13043.0,INTARIAN_PEPPER_ROOT,3,sell,14,15,14,10,14,49600
35,29,39,29,32,32,12,18,29,24,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,R1,13050.0,13045.0,13049.5,13051.0,-1.0,13045.0,INTARIAN_PEPPER_ROOT,3,buy,2,14,12,15,10,49800
20,14,40,14,,36,34,40,43,,-0.9047619047619048,,0.0,0.0,0.0,,R1,10005.0,10005.0,10005.0,,,10003.0,ASH_COATED_OSMIUM,4,sell,13,16,16,16,,65600
37,30,,27,24,21,19,,27,32,0.4482758620689655,0.3254901960784314,0.26666666666666666,,0.0,-0.058823529411764705,R1,13064.0,,13065.0,13067.0,-3.0,13061.0,INTARIAN_PEPPER_ROOT,8,buy,6,18,,14,10,65700
11,26,31,37,30,34,10,31,27,19,0.0,-0.26666666666666666,0.0,0.0,0.047619047619047616,0.26666666666666666,R1,13066.0,13065.0,13063.5,13064.0,2.0,13059.0,INTARIAN_PEPPER_ROOT,7,sell,14,14,14,9,18,66100
28,28,12,29,31,9,28,32,29,23,0.0,-0.4838709677419355,0.0,0.0,0.0,0.4838709677419355,R1,13068.0,13067.0,13068.0,13066.0,2.0,13061.0,INTARIAN_PEPPER_ROOT,6,sell,14,14,14,14,18,68300
41,41,40,37,,30,41,40,37,,0.4634146341463415,,0.0,0.0,0.0,,R1,10007.0,10007.0,10007.0,,,10016.0,ASH_COATED_OSMIUM,2,buy,19,16,16,16,,82300
36,44,10,37,41,36,14,39,37,26,0.0,-0.2682926829268293,0.0,0.0,0.0,0.2682926829268293,R1,10008.0,10007.0,10007.0,10006.0,2.0,10000.0,ASH_COATED_OSMIUM,7,sell,16,16,16,16,18,83600
42,43,22,43,35,14,43,33,43,23,0.0,-0.3142857142857143,0.0,-0.3333333333333333,0.0,0.3142857142857143,R1,10003.0,10004.5,10003.0,10001.0,2.0,10010.0,ASH_COATED_OSMIUM,8,buy,16,16,19,16,18,86900
26,16,8,31,9,32,9,23,31,29,-0.29411764705882354,-0.28,-0.28,0.0,0.0,0.0,R1,13092.5,13090.0,13091.0,13091.0,1.5,13095.0,INTARIAN_PEPPER_ROOT,6,sell,3,17,14,14,14,91100
42,,,36,34,42,,,25,34,0.0,,,,0.3888888888888889,0.0,R1,,,9999.5,10001.0,,10009.0,ASH_COATED_OSMIUM,6,buy,16,,,19,16,96800
28,,36,8,37,8,,12,28,37,0.0,,,0.0,0.0,0.0,R1,,13098.5,13099.0,13099.0,,13092.0,INTARIAN_PEPPER_ROOT,3,sell,15,,15,14,14,99500
18,29,28,25,34,9,29,28,25,34,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,R1,13129.0,13128.5,13129.0,13129.0,0.0,13122.0,INTARIAN_PEPPER_ROOT,3,sell,18,14,15,14,14,129500
35,26,25,31,,28,26,36,39,,0.2631578947368421,,0.0,-0.3888888888888889,-0.1111111111111111,,R1,13135.0,13136.0,13140.5,,,13131.0,INTARIAN_PEPPER_ROOT,7,buy,3,14,18,3,,135500
20,32,28,28,10,35,37,28,16,29,-0.6666666666666666,-0.375,-0.375,0.0,0.14285714285714285,0.0,R1,13145.0,13139.0,13138.0,13140.0,5.0,13144.0,INTARIAN_PEPPER_ROOT,4,sell,6,4,14,18,14,140100
29,35,25,33,11,35,35,29,33,35,-0.25,0.0,0.0,-0.38461538461538464,0.0,0.0,R1,13142.0,13146.0,13142.0,13141.5,0.5,13145.0,INTARIAN_PEPPER_ROOT,6,sell,4,14,4,14,15,142000
30,33,26,23,21,30,33,26,23,32,0.0,0.3125,0.0,0.0,0.0,-0.3125,R1,13150.5,13150.0,13150.0,13151.5,-1.0,13144.0,INTARIAN_PEPPER_ROOT,5,sell,14,15,14,14,17,150600
11,33,39,38,27,11,33,39,15,42,0.0,0.6875,0.0,0.0,0.0,-0.6875,R1,10007.0,10007.0,10007.0,10011.5,-4.5,10000.0,ASH_COATED_OSMIUM,5,sell,16,16,16,16,13,154200
31,23,20,33,8,19,23,32,33,30,0.6521739130434783,0.0,0.0,-0.25,0.0,0.0,R1,13165.5,13166.0,13165.0,13165.0,0.5,13161.0,INTARIAN_PEPPER_ROOT,4,buy,6,21,18,14,14,165500
