session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2,product_stats_json
0,-1,101352.0,0.0,0.0,10.165359363372978,0.9999063239170397,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":83842.0,""cash"":-876150.0,""position"":80,""slope_per_step"":8.45030453889445,""r_squared"":0.9999607269985776},""ASH_COATED_OSMIUM"":{""pnl"":17510.0,""cash"":-782570.0,""position"":80,""slope_per_step"":1.7150548244785482,""r_squared"":0.9936577136839694}}"
1,0,96483.90000000002,0.0,0.0,9.671723875367048,0.9999128640561872,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":15195.0,""cash"":-694876.0,""position"":71,""slope_per_step"":1.4921887615618876,""r_squared"":0.9900872045863489},""INTARIAN_PEPPER_ROOT"":{""pnl"":81288.90000000002,""cash"":-841704.0,""position"":71,""slope_per_step"":8.179535113805166,""r_squared"":0.9998672677514139}}"
2,1,100179.0,0.0,0.0,10.057232805626724,0.9997423309524923,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17484.0,""cash"":-632581.0,""position"":65,""slope_per_step"":1.733406906672069,""r_squared"":0.9901329028595398},""INTARIAN_PEPPER_ROOT"":{""pnl"":82695.0,""cash"":-1037297.0,""position"":80,""slope_per_step"":8.323825898954635,""r_squared"":0.9999736182001991}}"
3,-1,100309.0,0.0,0.0,10.072178248091168,0.9999303030711739,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17250.0,""cash"":-722824.0,""position"":74,""slope_per_step"":1.6999862750298627,""r_squared"":0.9979632947346442},""INTARIAN_PEPPER_ROOT"":{""pnl"":83059.0,""cash"":-876933.0,""position"":80,""slope_per_step"":8.37219197306132,""r_squared"":0.9999905138161342}}"
4,0,100228.0,0.0,0.0,10.16568944495408,0.9999529882666269,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18078.0,""cash"":-141938.0,""position"":16,""slope_per_step"":1.8753614449776144,""r_squared"":0.998782562672485},""INTARIAN_PEPPER_ROOT"":{""pnl"":82150.0,""cash"":-827843.0,""position"":70,""slope_per_step"":8.290327999976475,""r_squared"":0.9999917427456426}}"
5,1,100975.0,0.0,0.0,10.174614719018956,0.9999519401708495,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18312.0,""cash"":-431733.0,""position"":45,""slope_per_step"":1.8413012152010122,""r_squared"":0.998463686446638},""INTARIAN_PEPPER_ROOT"":{""pnl"":82663.0,""cash"":-1037329.0,""position"":80,""slope_per_step"":8.333313503817955,""r_squared"":0.9999762336773153}}"
6,-1,98907.0,0.0,0.0,10.007906253895458,0.9999450479694317,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16664.0,""cash"":-563394.0,""position"":58,""slope_per_step"":1.6968600743886006,""r_squared"":0.9991746936944546},""INTARIAN_PEPPER_ROOT"":{""pnl"":82243.0,""cash"":-877749.0,""position"":80,""slope_per_step"":8.31104617950687,""r_squared"":0.9999818872061902}}"
7,0,99044.5,0.0,0.0,9.92090662279468,0.9997381646345983,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82636.5,""cash"":-892356.0,""position"":75,""slope_per_step"":8.3056184929398,""r_squared"":0.999949855662132},""ASH_COATED_OSMIUM"":{""pnl"":16408.0,""cash"":146421.0,""position"":-13,""slope_per_step"":1.6152881298548813,""r_squared"":0.9953005458252026}}"
8,1,100526.59999999998,0.0,0.0,10.11109427516469,0.9999581753324365,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17630.0,""cash"":-612433.0,""position"":63,""slope_per_step"":1.7899148667611486,""r_squared"":0.998443152462411},""INTARIAN_PEPPER_ROOT"":{""pnl"":82896.59999999998,""cash"":-953096.0,""position"":74,""slope_per_step"":8.32117940840356,""r_squared"":0.9999792729875162}}"
9,-1,98399.40000000002,0.0,0.0,9.950880977141987,0.9999044174197377,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16063.0,""cash"":-744013.0,""position"":76,""slope_per_step"":1.6336531274925312,""r_squared"":0.9957512460022783},""INTARIAN_PEPPER_ROOT"":{""pnl"":82336.40000000002,""cash"":-829656.0,""position"":76,""slope_per_step"":8.317227849649454,""r_squared"":0.9999791203046073}}"
