day;timestamp;product;fair_value;position;cash;mtm_pnl
-1;0;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
-1;0;INTARIAN_PEPPER_ROOT;11000.0;8;-88056.0;-56.0
-1;100;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
-1;100;INTARIAN_PEPPER_ROOT;11000.1;18;-198126.0;-124.19999999998254
-1;200;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
-1;200;INTARIAN_PEPPER_ROOT;11000.2;27;-297189.0;-183.59999999997672
-1;300;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
-1;300;INTARIAN_PEPPER_ROOT;11000.3;35;-385245.0;-234.5
-1;400;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
-1;400;INTARIAN_PEPPER_ROOT;11000.4;44;-484308.0;-290.4000000000233
-1;500;ASH_COATED_OSMIUM;10001.0;5;-49970.0;35.0
-1;500;INTARIAN_PEPPER_ROOT;11000.5;44;-484308.0;-286.0
-1;600;ASH_COATED_OSMIUM;10001.0;11;-109934.0;77.0
-1;600;INTARIAN_PEPPER_ROOT;11000.6;52;-572364.0;-332.79999999993015
-1;700;ASH_COATED_OSMIUM;10001.0;11;-109934.0;77.0
-1;700;INTARIAN_PEPPER_ROOT;11000.7;63;-693441.0;-396.89999999990687
-1;800;ASH_COATED_OSMIUM;10001.0;20;-199880.0;140.0
-1;800;INTARIAN_PEPPER_ROOT;11000.8;75;-825525.0;-465.0
-1;900;ASH_COATED_OSMIUM;10001.0;20;-199880.0;140.0
-1;900;INTARIAN_PEPPER_ROOT;11000.9;75;-825525.0;-457.5
-1;1000;ASH_COATED_OSMIUM;10001.0;20;-199880.0;140.0
-1;1000;INTARIAN_PEPPER_ROOT;11001.0;75;-825525.0;-450.0
-1;1100;ASH_COATED_OSMIUM;10001.0;23;-229862.0;161.0
-1;1100;INTARIAN_PEPPER_ROOT;11001.1;75;-825525.0;-442.5
-1;1200;ASH_COATED_OSMIUM;10001.0;23;-229862.0;161.0
-1;1200;INTARIAN_PEPPER_ROOT;11001.2;75;-825525.0;-435.0
-1;1300;ASH_COATED_OSMIUM;10001.0;23;-229862.0;161.0
-1;1300;INTARIAN_PEPPER_ROOT;11001.3;75;-825525.0;-427.5
-1;1400;ASH_COATED_OSMIUM;10001.0;23;-229862.0;161.0
-1;1400;INTARIAN_PEPPER_ROOT;11001.4;75;-825525.0;-420.0
-1;1500;ASH_COATED_OSMIUM;10001.0;23;-229862.0;161.0
-1;1500;INTARIAN_PEPPER_ROOT;11001.5;75;-825525.0;-412.5
-1;1600;ASH_COATED_OSMIUM;10001.0;23;-229862.0;161.0
