day;timestamp;product;fair_value;position;cash;mtm_pnl
1;0;ASH_COATED_OSMIUM;10001.0;0;0.0;0.0
1;0;INTARIAN_PEPPER_ROOT;13000.0;0;0.0;0.0
1;100;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;100;INTARIAN_PEPPER_ROOT;13000.1;0;0.0;0.0
1;200;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;200;INTARIAN_PEPPER_ROOT;13000.2;0;0.0;0.0
1;300;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;300;INTARIAN_PEPPER_ROOT;13000.3;11;-143077.0;-73.70000000001164
1;400;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;400;INTARIAN_PEPPER_ROOT;13000.4;21;-273147.0;-138.60000000003492
1;500;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;500;INTARIAN_PEPPER_ROOT;13000.5;29;-377203.0;-188.5
1;600;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;600;INTARIAN_PEPPER_ROOT;13000.6;40;-520280.0;-256.0
1;700;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;700;INTARIAN_PEPPER_ROOT;13000.7;51;-663357.0;-321.29999999993015
1;800;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;800;INTARIAN_PEPPER_ROOT;13000.8;59;-767413.0;-365.80000000004657
1;900;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;900;INTARIAN_PEPPER_ROOT;13000.9;69;-897483.0;-420.9000000000233
1;1000;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;1000;INTARIAN_PEPPER_ROOT;13001.0;78;-1014555.0;-477.0
1;1100;ASH_COATED_OSMIUM;10001.0;5;-49960.0;45.0
1;1100;INTARIAN_PEPPER_ROOT;13001.1;80;-1040547.0;-459.0
1;1200;ASH_COATED_OSMIUM;10001.0;7;-69948.0;59.0
1;1200;INTARIAN_PEPPER_ROOT;13001.2;80;-1040547.0;-451.0
1;1300;ASH_COATED_OSMIUM;10001.0;7;-69948.0;59.0
1;1300;INTARIAN_PEPPER_ROOT;13001.3;80;-1040547.0;-443.0
1;1400;ASH_COATED_OSMIUM;10001.0;7;-69948.0;59.0
1;1400;INTARIAN_PEPPER_ROOT;13001.4;80;-1040547.0;-435.0
1;1500;ASH_COATED_OSMIUM;10001.0;7;-69948.0;59.0
1;1500;INTARIAN_PEPPER_ROOT;13001.5;80;-1040547.0;-427.0
1;1600;ASH_COATED_OSMIUM;10001.0;13;-129912.0;101.0
1;1600;INTARIAN_PEPPER_ROOT;13001.6;80;-1040547.0;-419.0
1;1700;ASH_COATED_OSMIUM;10001.0;8;-79872.0;136.0
1;1700;INTARIAN_PEPPER_ROOT;13001.7;80;-1040547.0;-411.0
1;1800;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;1800;INTARIAN_PEPPER_ROOT;13001.8;80;-1040547.0;-403.0
1;1900;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;1900;INTARIAN_PEPPER_ROOT;13001.9;80;-1040547.0;-395.0
1;2000;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;2000;INTARIAN_PEPPER_ROOT;13002.0;80;-1040547.0;-387.0
1;2100;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;2100;INTARIAN_PEPPER_ROOT;13002.1;80;-1040547.0;-379.0
1;2200;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;2200;INTARIAN_PEPPER_ROOT;13002.2;80;-1040547.0;-371.0
1;2300;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;2300;INTARIAN_PEPPER_ROOT;13002.3;80;-1040547.0;-363.0
1;2400;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;2400;INTARIAN_PEPPER_ROOT;13002.4;80;-1040547.0;-355.0
1;2500;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;2500;INTARIAN_PEPPER_ROOT;13002.5;80;-1040547.0;-347.0
1;2600;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;2600;INTARIAN_PEPPER_ROOT;13002.6;80;-1040547.0;-339.0
1;2700;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;2700;INTARIAN_PEPPER_ROOT;13002.7;80;-1040547.0;-331.0
1;2800;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;2800;INTARIAN_PEPPER_ROOT;13002.8;80;-1040547.0;-323.0
1;2900;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;2900;INTARIAN_PEPPER_ROOT;13002.9;80;-1040547.0;-315.0
1;3000;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;3000;INTARIAN_PEPPER_ROOT;13003.0;80;-1040547.0;-307.0
1;3100;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;3100;INTARIAN_PEPPER_ROOT;13003.1;80;-1040547.0;-299.0
1;3200;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;3200;INTARIAN_PEPPER_ROOT;13003.2;80;-1040547.0;-291.0
1;3300;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;3300;INTARIAN_PEPPER_ROOT;13003.3;80;-1040547.0;-283.0
1;3400;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;3400;INTARIAN_PEPPER_ROOT;13003.4;80;-1040547.0;-275.0
1;3500;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;3500;INTARIAN_PEPPER_ROOT;13003.5;80;-1040547.0;-267.0
1;3600;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;3600;INTARIAN_PEPPER_ROOT;13003.6;80;-1040547.0;-259.0
1;3700;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;3700;INTARIAN_PEPPER_ROOT;13003.7;80;-1040547.0;-251.0
1;3800;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;3800;INTARIAN_PEPPER_ROOT;13003.8;80;-1040547.0;-243.0
1;3900;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;3900;INTARIAN_PEPPER_ROOT;13003.9;80;-1040547.0;-235.0
1;4000;ASH_COATED_OSMIUM;10001.0;13;-129842.0;171.0
1;4000;INTARIAN_PEPPER_ROOT;13004.0;80;-1040547.0;-227.0
1;4100;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;4100;INTARIAN_PEPPER_ROOT;13004.1;80;-1040547.0;-219.0
1;4200;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;4200;INTARIAN_PEPPER_ROOT;13004.2;80;-1040547.0;-211.0
1;4300;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;4300;INTARIAN_PEPPER_ROOT;13004.3;80;-1040547.0;-203.0
1;4400;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;4400;INTARIAN_PEPPER_ROOT;13004.4;80;-1040547.0;-195.0
1;4500;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;4500;INTARIAN_PEPPER_ROOT;13004.5;80;-1040547.0;-187.0
1;4600;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;4600;INTARIAN_PEPPER_ROOT;13004.6;80;-1040547.0;-179.0
1;4700;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;4700;INTARIAN_PEPPER_ROOT;13004.7;80;-1040547.0;-171.0
1;4800;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;4800;INTARIAN_PEPPER_ROOT;13004.8;80;-1040547.0;-163.0
1;4900;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;4900;INTARIAN_PEPPER_ROOT;13004.9;80;-1040547.0;-155.0
1;5000;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;5000;INTARIAN_PEPPER_ROOT;13005.0;80;-1040547.0;-147.0
1;5100;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;5100;INTARIAN_PEPPER_ROOT;13005.1;80;-1040547.0;-139.0
1;5200;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;5200;INTARIAN_PEPPER_ROOT;13005.2;80;-1040547.0;-131.0
1;5300;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;5300;INTARIAN_PEPPER_ROOT;13005.3;80;-1040547.0;-123.0
1;5400;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;5400;INTARIAN_PEPPER_ROOT;13005.4;80;-1040547.0;-115.0
1;5500;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;5500;INTARIAN_PEPPER_ROOT;13005.5;80;-1040547.0;-107.0
1;5600;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;5600;INTARIAN_PEPPER_ROOT;13005.6;80;-1040547.0;-99.0
1;5700;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;5700;INTARIAN_PEPPER_ROOT;13005.7;80;-1040547.0;-91.0
1;5800;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;5800;INTARIAN_PEPPER_ROOT;13005.8;80;-1040547.0;-83.0
1;5900;ASH_COATED_OSMIUM;10001.0;5;-49778.0;227.0
1;5900;INTARIAN_PEPPER_ROOT;13005.9;80;-1040547.0;-75.0
