session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2,product_stats_json
0,-1,99242.09999999998,0.0,0.0,10.01237848222977,0.9999050949252035,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16510.0,""cash"":-743566.0,""position"":76,""slope_per_step"":1.652107903731079,""r_squared"":0.9962046806813891},""INTARIAN_PEPPER_ROOT"":{""pnl"":82732.09999999998,""cash"":-865260.0,""position"":79,""slope_per_step"":8.360270578498707,""r_squared"":0.9999882166113476}}"
1,0,99393.5,0.0,0.0,10.030894026707754,0.9998800779578706,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":81902.5,""cash"":-893090.0,""position"":75,""slope_per_step"":8.281156337530364,""r_squared"":0.9999445123181722},""ASH_COATED_OSMIUM"":{""pnl"":17491.0,""cash"":-662577.0,""position"":68,""slope_per_step"":1.7497376891773768,""r_squared"":0.9971095828073364}}"
2,1,97473.59999999998,0.0,0.0,9.801637129089976,0.9999153365061241,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":15225.0,""cash"":-764853.0,""position"":78,""slope_per_step"":1.528426285316263,""r_squared"":0.9971235439068346},""INTARIAN_PEPPER_ROOT"":{""pnl"":82248.59999999998,""cash"":-953744.0,""position"":74,""slope_per_step"":8.27321084377371,""r_squared"":0.9999853215171347}}"
3,-1,102033.5,0.0,0.0,10.258760067043386,0.9998694397897505,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82853.5,""cash"":-817139.0,""position"":75,""slope_per_step"":8.310135760737138,""r_squared"":0.999956177222499},""ASH_COATED_OSMIUM"":{""pnl"":19180.0,""cash"":-290851.0,""position"":31,""slope_per_step"":1.9486243063062432,""r_squared"":0.9960874070827486}}"
4,0,99148.59999999998,0.0,0.0,10.000801758931223,0.9998119392751971,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16162.0,""cash"":-563896.0,""position"":58,""slope_per_step"":1.6725544204535443,""r_squared"":0.9949894827060499},""INTARIAN_PEPPER_ROOT"":{""pnl"":82986.59999999998,""cash"":-879006.0,""position"":74,""slope_per_step"":8.328247338477679,""r_squared"":0.9999837889678204}}"
5,1,100834.0,0.0,0.0,10.124774661764523,0.9998929870981343,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":81848.0,""cash"":-1038144.0,""position"":80,""slope_per_step"":8.272509307537879,""r_squared"":0.9999646656284455},""ASH_COATED_OSMIUM"":{""pnl"":18986.0,""cash"":-721088.0,""position"":74,""slope_per_step"":1.8522653542266536,""r_squared"":0.9956665624708186}}"
6,-1,99742.0,0.0,0.0,9.975704113700846,0.9999210678902417,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16635.0,""cash"":-783445.0,""position"":80,""slope_per_step"":1.5929311302593112,""r_squared"":0.9969192635022235},""INTARIAN_PEPPER_ROOT"":{""pnl"":83107.0,""cash"":-876885.0,""position"":80,""slope_per_step"":8.382772983441535,""r_squared"":0.9999726472500913}}"
7,0,98948.0,0.0,0.0,9.847952747426127,0.999869281833403,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16042.0,""cash"":-634023.0,""position"":65,""slope_per_step"":1.5354659767926597,""r_squared"":0.9933141038777185},""INTARIAN_PEPPER_ROOT"":{""pnl"":82906.0,""cash"":-957086.0,""position"":80,""slope_per_step"":8.312486770633473,""r_squared"":0.999908108799512}}"
8,1,97494.3999999999,0.0,0.0,9.712436742038973,0.9997562140818124,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":15403.0,""cash"":-744673.0,""position"":76,""slope_per_step"":1.4496685932006859,""r_squared"":0.9919607744385268},""INTARIAN_PEPPER_ROOT"":{""pnl"":82091.3999999999,""cash"":-981901.0,""position"":76,""slope_per_step"":8.262768148838287,""r_squared"":0.9999471411377671}}"
9,-1,98699.0,0.0,0.0,9.994125008886435,0.9999560615976854,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":83119.0,""cash"":-876873.0,""position"":80,""slope_per_step"":8.394620095297382,""r_squared"":0.9999851416905197},""ASH_COATED_OSMIUM"":{""pnl"":15580.0,""cash"":-724494.0,""position"":74,""slope_per_step"":1.5995049135890491,""r_squared"":0.9986946509169943}}"
10,0,100796.29999999993,0.0,0.0,10.121224650640857,0.9999258837708273,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18159.0,""cash"":-671910.0,""position"":69,""slope_per_step"":1.7924376713963768,""r_squared"":0.9982014036084987},""INTARIAN_PEPPER_ROOT"":{""pnl"":82637.29999999993,""cash"":-918355.0,""position"":77,""slope_per_step"":8.32878697924447,""r_squared"":0.9999842749165411}}"
11,1,99772.3999999999,0.0,0.0,10.019337185934587,0.9998790616254759,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17165.0,""cash"":-602897.0,""position"":62,""slope_per_step"":1.6957923415579235,""r_squared"":0.9983265230817204},""INTARIAN_PEPPER_ROOT"":{""pnl"":82607.3999999999,""cash"":-981385.0,""position"":76,""slope_per_step"":8.323544844376668,""r_squared"":0.9999595174080766}}"
12,-1,99665.29999999993,0.0,0.0,9.990006057083475,0.999900669138776,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82747.29999999993,""cash"":-841245.0,""position"":77,""slope_per_step"":8.328214345603538,""r_squared"":0.9999685940859456},""ASH_COATED_OSMIUM"":{""pnl"":16918.0,""cash"":-593143.0,""position"":61,""slope_per_step"":1.6617917114799172,""r_squared"":0.9968191895839119}}"
13,0,100542.29999999993,0.0,0.0,9.97350696115927,0.9999042492769207,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":83008.29999999993,""cash"":-917984.0,""position"":77,""slope_per_step"":8.280892683889132,""r_squared"":0.9999706006285773},""ASH_COATED_OSMIUM"":{""pnl"":17534.0,""cash"":-752543.0,""position"":77,""slope_per_step"":1.6926142772701427,""r_squared"":0.9976767993895944}}"
14,1,99511.0,0.0,0.0,9.989237277535388,0.9998717310044561,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16848.0,""cash"":-473201.0,""position"":49,""slope_per_step"":1.6981450772714508,""r_squared"":0.9966445827982664},""INTARIAN_PEPPER_ROOT"":{""pnl"":82663.0,""cash"":-1037329.0,""position"":80,""slope_per_step"":8.291092200263932,""r_squared"":0.9999505299703682}}"
15,-1,99926.59999999998,0.0,0.0,10.013711256768698,0.9998878287419826,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82197.59999999998,""cash"":-805795.0,""position"":74,""slope_per_step"":8.276169141589282,""r_squared"":0.999991226120885},""ASH_COATED_OSMIUM"":{""pnl"":17729.0,""cash"":-592332.0,""position"":61,""slope_per_step"":1.7375421151794213,""r_squared"":0.9971557856317743}}"
16,0,99086.79999999993,0.0,0.0,9.980822521450845,0.9999087139734467,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16684.0,""cash"":-243342.0,""position"":26,""slope_per_step"":1.6534918350709185,""r_squared"":0.9960046258694959},""INTARIAN_PEPPER_ROOT"":{""pnl"":82402.79999999993,""cash"":-853590.0,""position"":72,""slope_per_step"":8.327330686379925,""r_squared"":0.9999727393699607}}"
17,1,100843.0,0.0,0.0,10.16457927828877,0.9999727252747489,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82944.0,""cash"":-1037048.0,""position"":80,""slope_per_step"":8.368429169651296,""r_squared"":0.9999881860458274},""ASH_COATED_OSMIUM"":{""pnl"":17899.0,""cash"":-222125.0,""position"":24,""slope_per_step"":1.7961501086375011,""r_squared"":0.99895095762633}}"
18,-1,99590.29999999993,0.0,0.0,10.068004156031432,0.9999181481011609,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17192.0,""cash"":-592869.0,""position"":61,""slope_per_step"":1.7625688324116884,""r_squared"":0.9980730788309707},""INTARIAN_PEPPER_ROOT"":{""pnl"":82398.29999999993,""cash"":-841594.0,""position"":77,""slope_per_step"":8.305435323619749,""r_squared"":0.9999800087426943}}"
19,0,100181.0,0.0,0.0,10.044910641061321,0.9999513521264104,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82760.0,""cash"":-957232.0,""position"":80,""slope_per_step"":8.303546618165681,""r_squared"":0.9999871836759118},""ASH_COATED_OSMIUM"":{""pnl"":17421.0,""cash"":-412622.0,""position"":43,""slope_per_step"":1.7413640228956402,""r_squared"":0.9983239278968358}}"
20,1,98830.30000000005,0.0,0.0,9.958954766433957,0.999933048965996,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16767.0,""cash"":-723307.0,""position"":74,""slope_per_step"":1.6705664188036642,""r_squared"":0.9985041816225697},""INTARIAN_PEPPER_ROOT"":{""pnl"":82063.30000000005,""cash"":-995929.0,""position"":77,""slope_per_step"":8.288388347630294,""r_squared"":0.999973484599848}}"
21,-1,100380.29999999993,0.0,0.0,9.962224281616828,0.9998974958920804,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82709.29999999993,""cash"":-841283.0,""position"":77,""slope_per_step"":8.303629217456873,""r_squared"":0.9999771576167606},""ASH_COATED_OSMIUM"":{""pnl"":17671.0,""cash"":-782409.0,""position"":80,""slope_per_step"":1.6585950641599507,""r_squared"":0.9970703128049604}}"
22,0,99603.0,0.0,0.0,9.993214727670953,0.9999357740861636,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16892.0,""cash"":-153125.0,""position"":17,""slope_per_step"":1.700427516210275,""r_squared"":0.9976627029050675},""INTARIAN_PEPPER_ROOT"":{""pnl"":82711.0,""cash"":-957281.0,""position"":80,""slope_per_step"":8.292787211460686,""r_squared"":0.999979921250132}}"
23,1,101346.0,0.0,0.0,10.148056074759756,0.9999110622588444,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18317.0,""cash"":-591744.0,""position"":61,""slope_per_step"":1.7963932378859324,""r_squared"":0.998572978777217},""INTARIAN_PEPPER_ROOT"":{""pnl"":83029.0,""cash"":-1036963.0,""position"":80,""slope_per_step"":8.351662836873828,""r_squared"":0.9999768029131263}}"
24,-1,99399.79999999993,0.0,0.0,9.963224221424223,0.9999377080302689,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16837.0,""cash"":686904.0,""position"":-67,""slope_per_step"":1.6485707752777077,""r_squared"":0.9976278192378791},""INTARIAN_PEPPER_ROOT"":{""pnl"":82562.79999999993,""cash"":-781430.0,""position"":72,""slope_per_step"":8.31465344614651,""r_squared"":0.9999682978025198}}"
25,0,101609.40000000002,0.0,0.0,10.14793644897795,0.9999204989787007,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82595.40000000002,""cash"":-905397.0,""position"":76,""slope_per_step"":8.318279837717379,""r_squared"":0.9999679167619469},""ASH_COATED_OSMIUM"":{""pnl"":19014.0,""cash"":-90997.0,""position"":11,""slope_per_step"":1.8296566112605661,""r_squared"":0.9985777280106442}}"
26,1,99513.90000000002,0.0,0.0,9.928095077755941,0.9998679335195945,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16328.0,""cash"":-453719.0,""position"":47,""slope_per_step"":1.5817930326139302,""r_squared"":0.997303787505595},""INTARIAN_PEPPER_ROOT"":{""pnl"":83185.90000000002,""cash"":-910807.0,""position"":71,""slope_per_step"":8.346302045142016,""r_squared"":0.9999776323647673}}"
27,-1,98312.0,0.0,0.0,9.877146614856047,0.9998217225663023,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82804.0,""cash"":-877188.0,""position"":80,""slope_per_step"":8.36815996154418,""r_squared"":0.9999523191409614},""ASH_COATED_OSMIUM"":{""pnl"":15508.0,""cash"":-634557.0,""position"":65,""slope_per_step"":1.5089866533118665,""r_squared"":0.9960179532944021}}"
28,0,100102.0,0.0,0.0,10.045516361493135,0.9999283727748997,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":83136.0,""cash"":-956856.0,""position"":80,""slope_per_step"":8.387106338367055,""r_squared"":0.9999680246110525},""ASH_COATED_OSMIUM"":{""pnl"":16966.0,""cash"":-783114.0,""position"":80,""slope_per_step"":1.6584100231261003,""r_squared"":0.9979601962477771}}"
29,1,99924.30000000005,0.0,0.0,9.934182191003812,0.9998112455291527,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17661.0,""cash"":77667.0,""position"":-6,""slope_per_step"":1.6732625459446255,""r_squared"":0.9932659553851757},""INTARIAN_PEPPER_ROOT"":{""pnl"":82263.30000000005,""cash"":-995729.0,""position"":77,""slope_per_step"":8.260919645059202,""r_squared"":0.9999867305515131}}"
30,-1,100293.29999999993,0.0,0.0,10.115533432008748,0.9999203228801549,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17706.0,""cash"":-782374.0,""position"":80,""slope_per_step"":1.8256319458123194,""r_squared"":0.9969947761393384},""INTARIAN_PEPPER_ROOT"":{""pnl"":82587.29999999993,""cash"":-841405.0,""position"":77,""slope_per_step"":8.28990148619643,""r_squared"":0.9999778075002772}}"
31,0,100014.0,0.0,0.0,10.081144668561656,0.9998464260506381,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16620.0,""cash"":-723454.0,""position"":74,""slope_per_step"":1.6487598083035981,""r_squared"":0.9970164513332016},""INTARIAN_PEPPER_ROOT"":{""pnl"":83394.0,""cash"":-956598.0,""position"":80,""slope_per_step"":8.432384860258063,""r_squared"":0.9999582931365394}}"
32,1,96936.0,0.0,0.0,9.794814315686343,0.9998736285221519,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":81760.0,""cash"":-1038232.0,""position"":80,""slope_per_step"":8.263859731732808,""r_squared"":0.9999770765832444},""ASH_COATED_OSMIUM"":{""pnl"":15176.0,""cash"":-454871.0,""position"":47,""slope_per_step"":1.5309545839535459,""r_squared"":0.9968496348897984}}"
33,-1,100202.0,0.0,0.0,10.05539349598614,0.9998700683532471,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17656.0,""cash"":-382384.0,""position"":40,""slope_per_step"":1.7387573523655735,""r_squared"":0.9955336196273354},""INTARIAN_PEPPER_ROOT"":{""pnl"":82546.0,""cash"":-877446.0,""position"":80,""slope_per_step"":8.316636143620567,""r_squared"":0.999982947251169}}"
34,0,98282.09999999998,0.0,0.0,9.855218341236398,0.9999754961354634,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16390.0,""cash"":-693681.0,""position"":71,""slope_per_step"":1.6177859377038595,""r_squared"":0.9991240371778405},""INTARIAN_PEPPER_ROOT"":{""pnl"":81892.09999999998,""cash"":-945100.0,""position"":79,""slope_per_step"":8.237432403532528,""r_squared"":0.9999903285232771}}"
35,1,98734.5,0.0,0.0,9.950493139985142,0.9998962224867148,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82113.5,""cash"":-967879.0,""position"":75,""slope_per_step"":8.277627282502491,""r_squared"":0.9999689209601534},""ASH_COATED_OSMIUM"":{""pnl"":16621.0,""cash"":-553436.0,""position"":57,""slope_per_step"":1.6728658574826585,""r_squared"":0.9968625520941428}}"
36,-1,98495.69999999995,0.0,0.0,9.845935167005319,0.9999404333051806,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":83506.69999999995,""cash"":-792486.0,""position"":73,""slope_per_step"":8.412108512047071,""r_squared"":0.9999758531640427},""ASH_COATED_OSMIUM"":{""pnl"":14989.0,""cash"":-355048.0,""position"":37,""slope_per_step"":1.4338266549582666,""r_squared"":0.9972383950160119}}"
37,0,99768.0,0.0,0.0,10.047418296115797,0.9999456230666934,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82085.0,""cash"":-957907.0,""position"":80,""slope_per_step"":8.267291954900529,""r_squared"":0.9999812306577585},""ASH_COATED_OSMIUM"":{""pnl"":17683.0,""cash"":-512370.0,""position"":53,""slope_per_step"":1.7801263412152635,""r_squared"":0.9976099111613598}}"
38,1,100363.0,0.0,0.0,10.118395761781157,0.9999531976472775,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18097.0,""cash"":-691974.0,""position"":71,""slope_per_step"":1.8323883168538833,""r_squared"":0.9993239026060625},""INTARIAN_PEPPER_ROOT"":{""pnl"":82266.0,""cash"":-1037726.0,""position"":80,""slope_per_step"":8.286007444927275,""r_squared"":0.9999835943528669}}"
39,-1,99413.29999999993,0.0,0.0,9.9960005428092,0.9999717218354633,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17042.0,""cash"":-162976.0,""position"":18,""slope_per_step"":1.6854642493566425,""r_squared"":0.9973348965212845},""INTARIAN_PEPPER_ROOT"":{""pnl"":82371.29999999993,""cash"":-841621.0,""position"":77,""slope_per_step"":8.310536293452557,""r_squared"":0.9999419032964717}}"
40,0,101235.29999999993,0.0,0.0,10.156818231216807,0.9999426460198371,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18465.0,""cash"":-761613.0,""position"":78,""slope_per_step"":1.7941270085532701,""r_squared"":0.9987666154778937},""INTARIAN_PEPPER_ROOT"":{""pnl"":82770.29999999993,""cash"":-918222.0,""position"":77,""slope_per_step"":8.362691222663535,""r_squared"":0.9999756725171118}}"
41,1,100341.69999999995,0.0,0.0,10.14778500240406,0.999829809452268,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82900.69999999995,""cash"":-939092.0,""position"":73,""slope_per_step"":8.36120748987627,""r_squared"":0.9999750199299092},""ASH_COATED_OSMIUM"":{""pnl"":17441.0,""cash"":-742635.0,""position"":76,""slope_per_step"":1.7865775125277752,""r_squared"":0.9970122196436133}}"
42,-1,101214.0,0.0,0.0,10.27516613295827,0.9998501644719124,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82929.0,""cash"":-877063.0,""position"":80,""slope_per_step"":8.377746329886078,""r_squared"":0.9999781909533937},""ASH_COATED_OSMIUM"":{""pnl"":18285.0,""cash"":-581775.0,""position"":60,""slope_per_step"":1.897419803072198,""r_squared"":0.9972304626447751}}"
43,0,101531.0,0.0,0.0,10.13060865509731,0.9996616166367842,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17886.0,""cash"":-652181.0,""position"":67,""slope_per_step"":1.7492524526965245,""r_squared"":0.9922896451004701},""INTARIAN_PEPPER_ROOT"":{""pnl"":83645.0,""cash"":-956347.0,""position"":80,""slope_per_step"":8.381356202400786,""r_squared"":0.9999396447973296}}"
44,1,98929.0,0.0,0.0,9.988533934502755,0.9999347699218063,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16007.0,""cash"":-644059.0,""position"":66,""slope_per_step"":1.6257315888453159,""r_squared"":0.9970049870184319},""INTARIAN_PEPPER_ROOT"":{""pnl"":82922.0,""cash"":-1037070.0,""position"":80,""slope_per_step"":8.362802345657423,""r_squared"":0.9999799031199701}}"
45,-1,99789.0,0.0,0.0,9.988817218448563,0.999867325923754,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82176.0,""cash"":-877816.0,""position"":80,""slope_per_step"":8.265602446910416,""r_squared"":0.9999676567816563},""ASH_COATED_OSMIUM"":{""pnl"":17613.0,""cash"":-672456.0,""position"":69,""slope_per_step"":1.7232147715381476,""r_squared"":0.9958570047089087}}"
