timestamp,product,side,size,price,mid_at_fill,edge_at_fill,mid_plus_10,mid_plus_50,mid_plus_200,realized_pnl_fifo,adverse_N4_M20,adverse_N2_M10,adverse_N6_M50,inv_before,inv_after
300,ASH_COATED_OSMIUM,SELL,4,10006.0,10011.0,-5.0,10009.0,10009.0,10002.5,0.0,1,1,1,0,-4
500,INTARIAN_PEPPER_ROOT,BUY,10,13007.0,13000.0,-7.0,13003.0,13007.0,13020.5,0.0,1,1,1,0,10
1400,INTARIAN_PEPPER_ROOT,BUY,10,13008.0,13001.0,-7.0,13002.0,13006.0,13021.0,0.0,1,1,1,10,20
3100,ASH_COATED_OSMIUM,SELL,6,10019.0,10010.5,8.5,10000.0,10008.0,10003.0,0.0,0,0,0,-4,-10
3400,ASH_COATED_OSMIUM,SELL,6,10011.0,10014.0,-3.0,10008.0,10012.0,10003.0,0.0,1,1,1,-10,-16
3400,INTARIAN_PEPPER_ROOT,BUY,11,13010.0,13003.0,-7.0,13006.0,13010.0,13034.0,0.0,1,1,1,20,31
4800,ASH_COATED_OSMIUM,SELL,3,10006.0,10011.5,-5.5,10009.5,10007.0,10003.0,0.0,1,1,1,-16,-19
5600,ASH_COATED_OSMIUM,BUY,8,9999.0,10007.5,8.5,10017.0,10008.0,10002.0,108.0,0,0,0,-19,-11
6400,INTARIAN_PEPPER_ROOT,BUY,4,13000.0,13006.0,6.0,13007.0,13011.0,13026.0,0.0,0,0,0,31,35
7100,ASH_COATED_OSMIUM,SELL,9,10010.0,10013.0,-3.0,10008.0,10007.0,10000.5,0.0,1,0,1,-11,-20
7400,INTARIAN_PEPPER_ROOT,BUY,8,13014.0,13007.0,-7.0,13010.0,13010.5,13027.0,0.0,1,1,1,35,43
7500,ASH_COATED_OSMIUM,SELL,5,10016.0,10007.5,8.5,10010.0,10005.0,9999.0,0.0,0,0,0,-20,-25
8400,ASH_COATED_OSMIUM,SELL,3,10007.0,10012.0,-5.0,10005.0,10004.0,10000.0,0.0,1,1,1,-25,-28
9400,INTARIAN_PEPPER_ROOT,BUY,11,13016.0,13014.5,-1.5,13010.0,13014.0,13029.0,0.0,1,1,1,43,54
9900,ASH_COATED_OSMIUM,SELL,5,10008.0,10008.0,0.0,10007.0,10004.0,9999.0,0.0,1,0,0,-28,-33
10600,ASH_COATED_OSMIUM,SELL,10,10015.0,10008.0,7.0,10004.0,10006.0,10000.0,0.0,0,0,0,-33,-43
11400,INTARIAN_PEPPER_ROOT,BUY,10,13018.0,13011.0,-7.0,13010.5,13016.0,13031.0,0.0,1,1,1,54,64
12300,ASH_COATED_OSMIUM,BUY,6,9998.0,10005.0,7.0,10005.0,10006.0,10000.0,94.0,0,0,0,-43,-37
13400,INTARIAN_PEPPER_ROOT,BUY,8,13020.0,13013.0,-7.0,13014.0,13018.0,13033.0,0.0,1,1,1,64,72
14200,ASH_COATED_OSMIUM,SELL,4,10002.0,10007.0,-5.0,10004.0,10005.0,10002.0,0.0,1,1,1,-37,-41
14600,ASH_COATED_OSMIUM,SELL,4,10011.0,10004.0,7.0,10006.0,10005.0,10000.0,0.0,0,0,0,-41,-45
16800,ASH_COATED_OSMIUM,SELL,7,10008.0,10011.0,-3.0,10006.0,10002.5,10002.0,0.0,0,0,0,-45,-52
17600,ASH_COATED_OSMIUM,SELL,4,10013.0,10006.0,7.0,10005.0,10002.0,10002.0,0.0,0,0,0,-52,-56
18000,ASH_COATED_OSMIUM,BUY,8,9998.0,10005.0,7.0,10005.0,10002.0,10000.0,86.0,0,0,0,-56,-48
19200,ASH_COATED_OSMIUM,SELL,2,10012.0,10005.0,7.0,10004.0,10003.0,10000.0,0.0,0,0,0,-48,-50
19300,ASH_COATED_OSMIUM,SELL,7,10006.0,10009.5,-3.5,10002.5,10003.0,10004.5,0.0,0,0,1,-50,-57
19300,INTARIAN_PEPPER_ROOT,BUY,5,13015.0,13013.5,-1.5,13013.0,13022.5,13050.0,0.0,0,1,0,72,77
19400,ASH_COATED_OSMIUM,SELL,9,10012.0,10005.0,7.0,10003.0,10003.0,9991.0,0.0,0,0,0,-57,-66
19500,ASH_COATED_OSMIUM,BUY,10,9996.0,10004.0,8.0,9999.0,10003.0,10000.5,164.0,0,0,0,-66,-56
20200,INTARIAN_PEPPER_ROOT,BUY,3,13016.0,13014.5,-1.5,13021.0,13026.5,13033.0,0.0,0,1,0,77,80
20300,ASH_COATED_OSMIUM,SELL,2,10011.0,10002.5,8.5,10003.0,10003.0,10001.0,0.0,0,0,0,-56,-58
22000,ASH_COATED_OSMIUM,SELL,6,10005.0,10008.0,-3.0,10002.0,9999.5,10001.0,0.0,1,1,1,-58,-64
22500,ASH_COATED_OSMIUM,BUY,5,9996.0,10003.0,7.0,10005.0,9999.0,10002.0,65.0,0,0,0,-64,-59
22800,INTARIAN_PEPPER_ROOT,SELL,4,13029.0,13021.5,7.5,13024.0,13028.0,13043.0,88.0,1,1,0,80,76
23000,ASH_COATED_OSMIUM,SELL,4,10010.0,10002.0,8.0,9993.0,10000.0,10001.0,0.0,0,0,0,-59,-63
24300,ASH_COATED_OSMIUM,SELL,4,10010.0,10003.0,7.0,10003.0,9999.0,10002.0,0.0,0,1,0,-63,-67
26400,ASH_COATED_OSMIUM,BUY,10,9998.0,9995.5,-2.5,10000.0,10004.5,10002.0,142.0,0,1,0,-67,-57
26500,ASH_COATED_OSMIUM,BUY,5,9998.0,9995.5,-2.5,9999.0,10000.0,10002.0,72.0,0,0,0,-57,-52
28200,ASH_COATED_OSMIUM,SELL,5,10007.0,9999.0,8.0,9999.0,10000.0,10003.0,0.0,0,0,0,-52,-57
28800,ASH_COATED_OSMIUM,BUY,10,9992.0,9999.0,7.0,10000.5,9992.0,10002.0,154.0,0,0,0,-57,-47
28800,INTARIAN_PEPPER_ROOT,SELL,4,13035.0,13029.0,6.0,13030.0,13034.0,13045.0,112.0,0,0,0,76,72
29000,ASH_COATED_OSMIUM,BUY,6,9990.0,9998.0,8.0,9999.0,10002.0,10002.0,118.0,0,0,0,-47,-41
29300,INTARIAN_PEPPER_ROOT,BUY,4,13025.0,13023.5,-1.5,13030.0,13027.0,13051.0,0.0,1,1,0,72,76
34000,INTARIAN_PEPPER_ROOT,BUY,4,13028.0,13035.5,7.5,13025.0,13039.0,13054.0,0.0,0,1,0,76,80
36200,ASH_COATED_OSMIUM,BUY,3,9995.0,10002.0,7.0,10002.5,10001.0,10006.0,53.0,0,0,0,-41,-38
36900,ASH_COATED_OSMIUM,BUY,3,9993.0,10001.0,8.0,10000.0,10002.0,10006.0,45.0,0,0,0,-38,-35
37600,ASH_COATED_OSMIUM,SELL,9,10010.0,10002.0,8.0,10000.0,10002.0,10016.0,0.0,0,0,0,-35,-44
38500,ASH_COATED_OSMIUM,SELL,9,10007.0,10000.0,7.0,10000.5,10000.0,10005.0,0.0,1,1,0,-44,-53
41700,ASH_COATED_OSMIUM,SELL,8,10009.0,10002.0,7.0,10002.0,10001.0,10007.0,0.0,0,0,0,-53,-61
43100,ASH_COATED_OSMIUM,BUY,2,9994.0,10002.5,8.5,10000.0,10003.0,10007.0,24.0,0,0,0,-61,-59
43300,ASH_COATED_OSMIUM,SELL,6,10008.0,10001.0,7.0,10002.0,10002.0,10008.0,0.0,0,0,0,-59,-65
44700,ASH_COATED_OSMIUM,BUY,2,9995.0,10002.0,7.0,10003.5,10002.0,10007.0,22.0,0,0,0,-65,-63
44800,ASH_COATED_OSMIUM,BUY,4,9999.0,9996.5,-2.5,10002.0,10003.5,10006.0,46.0,0,0,0,-63,-59
45300,ASH_COATED_OSMIUM,BUY,6,10000.0,9997.5,-2.5,10001.0,10003.0,10005.0,72.0,0,0,0,-59,-53
48200,ASH_COATED_OSMIUM,BUY,2,9996.0,10003.0,7.0,10002.0,10003.0,10008.0,30.0,0,0,0,-53,-51
48400,ASH_COATED_OSMIUM,BUY,8,9996.0,10004.0,8.0,10002.0,10002.5,10007.0,82.0,0,0,0,-51,-43
49400,ASH_COATED_OSMIUM,SELL,5,10009.0,10002.0,7.0,10002.5,10003.0,10002.0,0.0,0,0,0,-43,-48
51300,ASH_COATED_OSMIUM,BUY,9,9994.0,10002.0,8.0,10003.0,10005.0,10007.0,135.0,0,0,0,-48,-39
53200,INTARIAN_PEPPER_ROOT,SELL,4,13059.0,13053.0,6.0,13055.5,13059.5,13075.0,206.0,0,0,1,80,76
53700,ASH_COATED_OSMIUM,SELL,7,10005.0,10009.5,-4.5,10003.0,10004.0,10007.0,0.0,0,0,1,-39,-46
54000,ASH_COATED_OSMIUM,BUY,6,9997.0,10004.0,7.0,10002.5,9998.0,10006.0,72.0,0,0,0,-46,-40
54300,ASH_COATED_OSMIUM,SELL,4,10010.0,10003.0,7.0,10003.0,10008.0,10007.0,0.0,0,0,1,-40,-44
54800,ASH_COATED_OSMIUM,SELL,10,10010.0,10003.0,7.0,10011.0,10007.0,10005.0,0.0,0,0,1,-44,-54
56400,ASH_COATED_OSMIUM,SELL,9,10007.0,10010.5,-3.5,10006.5,10007.0,10005.0,0.0,1,1,1,-54,-63
57000,ASH_COATED_OSMIUM,SELL,6,10007.0,10010.5,-3.5,10004.0,10006.0,10005.0,0.0,1,1,1,-63,-69
57200,ASH_COATED_OSMIUM,BUY,5,9998.0,10005.0,7.0,10005.0,10006.0,10005.0,60.0,0,0,0,-69,-64
57800,ASH_COATED_OSMIUM,BUY,8,9998.0,10006.0,8.0,9997.0,10006.0,10006.0,72.0,0,0,0,-64,-56
59600,ASH_COATED_OSMIUM,SELL,7,10014.0,10007.0,7.0,10007.0,10005.0,10005.5,0.0,0,0,0,-56,-63
59600,INTARIAN_PEPPER_ROOT,BUY,4,13055.0,13054.0,-1.0,13061.0,13065.0,13080.0,0.0,0,0,0,76,80
62600,ASH_COATED_OSMIUM,SELL,5,10012.0,10005.0,7.0,9996.0,10002.0,10007.0,0.0,0,1,0,-63,-68
65600,ASH_COATED_OSMIUM,SELL,1,10003.0,10009.5,-6.5,10006.0,10006.0,10003.0,0.0,1,1,1,-68,-69
65700,ASH_COATED_OSMIUM,SELL,7,10007.0,10010.5,-3.5,10014.0,10007.0,10003.0,0.0,1,1,1,-69,-76
65800,ASH_COATED_OSMIUM,SELL,2,10013.0,10006.0,7.0,10007.0,9999.0,10003.0,0.0,0,0,0,-76,-78
66400,ASH_COATED_OSMIUM,SELL,2,10003.0,10008.5,-5.5,10007.0,10006.0,10001.0,0.0,1,1,1,-78,-80
68500,ASH_COATED_OSMIUM,BUY,6,10000.0,10007.0,7.0,10006.0,10006.0,10002.0,52.0,0,0,0,-80,-74
68500,INTARIAN_PEPPER_ROOT,SELL,7,13078.0,13070.0,8.0,13069.5,13073.5,13088.5,490.0,0,0,0,80,73
68700,ASH_COATED_OSMIUM,BUY,5,9981.0,10015.0,34.0,10007.0,10007.0,10003.0,138.0,0,0,0,-74,-69
69100,ASH_COATED_OSMIUM,BUY,5,10000.0,10007.0,7.0,10007.0,10014.0,10001.5,41.0,0,1,0,-69,-64
69300,ASH_COATED_OSMIUM,SELL,6,10014.0,10007.0,7.0,10006.0,10007.0,10007.0,0.0,0,0,0,-64,-70
69600,ASH_COATED_OSMIUM,SELL,3,10005.0,10010.5,-5.5,10006.0,10005.0,10003.5,0.0,0,1,1,-70,-73
69800,ASH_COATED_OSMIUM,SELL,7,10021.0,9998.0,23.0,9999.0,10005.0,10004.5,0.0,0,0,0,-73,-80
71000,INTARIAN_PEPPER_ROOT,SELL,7,13077.0,13071.0,6.0,13072.0,13076.0,13092.5,471.0,0,1,0,73,66
71100,ASH_COATED_OSMIUM,BUY,9,10000.0,10007.0,7.0,10006.0,10002.0,10001.0,61.0,0,0,0,-80,-71
72900,ASH_COATED_OSMIUM,BUY,3,9999.0,10006.0,7.0,10006.0,10014.0,10001.0,23.0,0,0,0,-71,-68
73400,INTARIAN_PEPPER_ROOT,BUY,7,13078.0,13080.5,2.5,13068.5,13078.0,13086.0,0.0,1,1,1,66,73
73800,ASH_COATED_OSMIUM,BUY,5,9999.0,10006.0,7.0,10005.0,9997.0,10002.0,55.0,0,0,0,-68,-63
74400,INTARIAN_PEPPER_ROOT,BUY,4,13070.0,13068.5,-1.5,13075.0,13079.0,13094.0,0.0,0,0,0,73,77
75900,ASH_COATED_OSMIUM,SELL,5,10004.0,10009.0,-5.0,10005.0,10008.0,9999.0,0.0,1,1,1,-63,-68
76000,ASH_COATED_OSMIUM,BUY,5,9981.0,10014.0,33.0,10005.0,10009.0,10012.0,145.0,0,0,0,-68,-63
76200,ASH_COATED_OSMIUM,BUY,7,9998.0,10005.0,7.0,10005.0,10008.0,10001.0,72.0,0,0,0,-63,-56
77000,INTARIAN_PEPPER_ROOT,SELL,3,13083.0,13077.0,6.0,13078.0,13089.0,13097.0,219.0,0,0,1,77,74
78100,ASH_COATED_OSMIUM,SELL,9,10008.0,10011.5,-3.5,10007.0,10006.0,10002.0,0.0,1,1,1,-56,-65
78200,ASH_COATED_OSMIUM,SELL,9,10008.0,10011.0,-3.0,10006.0,10007.0,10003.0,0.0,1,0,1,-65,-74
79700,ASH_COATED_OSMIUM,SELL,6,10007.0,10002.0,5.0,10008.0,10003.0,10001.0,0.0,0,0,1,-74,-80
82300,INTARIAN_PEPPER_ROOT,BUY,3,13078.0,13075.0,-3.0,13085.0,13087.0,13109.0,0.0,1,1,0,74,77
87400,ASH_COATED_OSMIUM,BUY,7,9999.0,9996.5,-2.5,10002.0,10002.0,10003.5,56.0,1,1,1,-80,-73
87800,INTARIAN_PEPPER_ROOT,BUY,3,13082.0,13088.0,6.0,13089.0,13093.0,13109.5,0.0,0,0,0,77,80
89300,ASH_COATED_OSMIUM,SELL,4,10004.0,10007.0,-3.0,10002.0,10002.5,10005.0,0.0,0,0,1,-73,-77
90600,INTARIAN_PEPPER_ROOT,SELL,5,13097.0,13091.0,6.0,13092.0,13097.5,13110.5,465.0,0,0,1,80,75
91300,ASH_COATED_OSMIUM,SELL,3,10008.0,10001.0,7.0,10002.0,10001.0,10003.0,0.0,0,0,0,-77,-80
92400,INTARIAN_PEPPER_ROOT,BUY,5,13086.0,13094.0,8.0,13086.0,13095.0,13112.0,0.0,0,0,0,75,80
93300,ASH_COATED_OSMIUM,BUY,2,9994.0,10001.0,7.0,10002.5,10002.0,10009.0,26.0,0,0,0,-80,-78
95200,ASH_COATED_OSMIUM,SELL,2,10011.0,10001.5,9.5,10001.0,10005.5,10002.0,0.0,0,0,0,-78,-80
96900,ASH_COATED_OSMIUM,BUY,5,9995.0,10002.0,7.0,10000.0,10004.0,10001.0,81.0,0,0,0,-80,-75
97300,ASH_COATED_OSMIUM,BUY,3,9995.0,10002.0,7.0,10002.0,10003.0,10001.0,57.0,0,0,0,-75,-72
98200,ASH_COATED_OSMIUM,SELL,7,10003.0,10003.0,0.0,10001.0,10004.0,10001.0,0.0,0,0,1,-72,-79
101700,ASH_COATED_OSMIUM,BUY,9,10000.0,9997.5,-2.5,10002.5,10003.0,10000.0,91.0,0,0,0,-79,-70
104200,ASH_COATED_OSMIUM,SELL,5,10005.0,10008.0,-3.0,10003.0,10005.0,9999.5,0.0,0,0,1,-70,-75
105400,ASH_COATED_OSMIUM,BUY,5,9996.0,10003.0,7.0,10004.0,9996.0,10000.0,55.0,0,0,0,-75,-70
107200,ASH_COATED_OSMIUM,SELL,5,10002.0,10007.0,-5.0,10004.0,10002.0,10000.0,0.0,1,1,1,-70,-75
108000,ASH_COATED_OSMIUM,SELL,4,10002.0,10007.0,-5.0,10016.0,10001.0,9999.0,0.0,1,1,1,-75,-79
108600,INTARIAN_PEPPER_ROOT,SELL,5,13110.0,13106.5,3.5,13110.0,13114.0,13129.0,494.0,0,0,0,80,75
110100,INTARIAN_PEPPER_ROOT,BUY,4,13106.0,13104.5,-1.5,13111.0,13115.0,13130.0,0.0,0,1,0,75,79
111100,ASH_COATED_OSMIUM,SELL,1,10005.0,10008.5,-3.5,10002.0,10001.0,9991.0,0.0,0,0,0,-79,-80
112000,INTARIAN_PEPPER_ROOT,BUY,1,13108.0,13106.5,-1.5,13106.0,13117.0,13132.0,0.0,0,1,0,79,80
112200,INTARIAN_PEPPER_ROOT,SELL,4,13118.0,13112.0,6.0,13113.0,13117.0,13132.0,416.0,1,0,1,80,76
113900,ASH_COATED_OSMIUM,BUY,5,9994.0,10001.0,7.0,10002.5,10000.0,10002.0,76.0,0,0,0,-80,-75
