day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;INTARIAN_PEPPER_ROOT;12990;20;;;;;13007;11;13010;20;;;12998.5;0.0
1;0;ASH_COATED_OSMIUM;9998;23;;;;;10016;13;;;;;10007.0;0.0
1;100;INTARIAN_PEPPER_ROOT;12993;12;12990;20;;;13010;20;;;;;13001.5;0.0
1;100;ASH_COATED_OSMIUM;10000;15;9998;21;;;10019;21;;;;;10009.5;0.0
1;200;ASH_COATED_OSMIUM;10000;14;9998;21;;;10019;21;;;;;10009.5;0.0
1;200;INTARIAN_PEPPER_ROOT;12990;21;;;;;13007;10;13010;21;;;12998.5;0.0
1;300;INTARIAN_PEPPER_ROOT;12993;11;12990;18;;;13007;11;;;;;13000.0;0.0
1;300;ASH_COATED_OSMIUM;10006;4;10000;15;9998;26;10016;15;10019;26;;;10011.0;0.0
1;400;INTARIAN_PEPPER_ROOT;;;;;;;13007;9;13011;23;;;13007.0;0.0
1;400;ASH_COATED_OSMIUM;10000;10;9998;26;;;10016;10;10019;26;;;10008.0;-8.66796875
1;500;INTARIAN_PEPPER_ROOT;12993;10;12990;17;;;13007;10;13011;17;;;13000.0;0.0
1;500;ASH_COATED_OSMIUM;10000;13;9998;23;;;10017;13;10019;23;;;10008.5;-10.00390625
1;600;ASH_COATED_OSMIUM;10000;15;;;;;10016;15;;;;;10008.0;-9.7734375
1;600;INTARIAN_PEPPER_ROOT;12994;12;12990;17;;;13008;12;;;;;13001.0;-64.0
1;700;INTARIAN_PEPPER_ROOT;12994;12;12990;15;;;13008;12;13011;15;;;13001.0;-63.0
1;700;ASH_COATED_OSMIUM;10000;11;;;;;;;;;;;10000.0;-9.75
1;800;INTARIAN_PEPPER_ROOT;;;;;;;13011;20;;;;;13011.0;-62.0
1;800;ASH_COATED_OSMIUM;9998;24;;;;;10017;13;10019;24;;;10007.5;-10.62109375
1;900;INTARIAN_PEPPER_ROOT;12994;11;12991;22;;;13008;11;13011;22;;;13001.0;-61.0
1;900;ASH_COATED_OSMIUM;10001;12;9998;20;;;10017;12;10019;20;;;10009.0;-10.48046875
1;1000;ASH_COATED_OSMIUM;10001;14;9998;30;;;10019;30;;;;;10010.0;-11.88671875
1;1000;INTARIAN_PEPPER_ROOT;12994;12;12991;15;;;13008;12;13011;15;;;13001.0;-60.0
1;1100;INTARIAN_PEPPER_ROOT;12994;8;12991;25;;;;;;;;;12994.0;-59.0
1;1100;ASH_COATED_OSMIUM;;;;;;;10017;15;10019;21;;;10017.0;-11.26171875
1;1200;INTARIAN_PEPPER_ROOT;12994;9;12991;15;;;13011;15;;;;;13002.5;-58.0
1;1200;ASH_COATED_OSMIUM;;;;;;;10017;10;10019;22;;;10017.0;-11.6953125
1;1300;INTARIAN_PEPPER_ROOT;12994;11;;;;;13008;11;13012;20;;;13001.0;-57.0
1;1300;ASH_COATED_OSMIUM;10001;11;9999;25;;;10017;11;10020;25;;;10009.0;-12.96875
1;1400;ASH_COATED_OSMIUM;10001;13;9999;23;;;10017;13;10020;23;;;10009.0;-12.80859375
1;1400;INTARIAN_PEPPER_ROOT;12994;10;12991;17;;;13008;10;;;;;13001.0;-56.0
1;1500;INTARIAN_PEPPER_ROOT;12994;9;12991;25;;;13012;25;;;;;13003.0;-120.0
1;1500;ASH_COATED_OSMIUM;10001;10;9999;20;;;10017;10;10020;20;;;10009.0;-12.19921875
1;1600;INTARIAN_PEPPER_ROOT;12995;8;12991;18;;;13012;18;;;;;13003.5;-118.0
1;1600;ASH_COATED_OSMIUM;10001;11;;;;;10020;28;;;;;10010.5;-13.3515625
1;1700;INTARIAN_PEPPER_ROOT;12995;8;12991;24;;;;;;;;;12995.0;-116.0
1;1700;ASH_COATED_OSMIUM;10001;12;9999;28;;;10018;12;10020;28;;;10009.5;-13.9765625
1;1800;ASH_COATED_OSMIUM;10001;13;9999;23;;;10017;13;10020;23;;;10009.0;-13.828125
1;1800;INTARIAN_PEPPER_ROOT;12995;10;12992;18;;;13009;10;13012;18;;;13002.0;-114.0
1;1900;INTARIAN_PEPPER_ROOT;12995;8;12992;24;;;13009;8;13012;24;;;13002.0;-112.0
1;1900;ASH_COATED_OSMIUM;9999;30;;;;;10018;14;10020;30;;;10008.5;-14.76171875
1;2000;INTARIAN_PEPPER_ROOT;12995;8;12992;16;;;13009;8;13012;16;;;13002.0;-110.0
1;2000;ASH_COATED_OSMIUM;10002;15;10000;21;;;10018;15;;;;;10010.0;-16.98828125
1;2100;INTARIAN_PEPPER_ROOT;12995;9;12992;21;;;;;;;;;12995.0;-108.0
1;2100;ASH_COATED_OSMIUM;10000;26;;;;;10019;13;10021;26;;;10009.5;-18.30078125
1;2200;INTARIAN_PEPPER_ROOT;12995;8;;;;;13009;8;13012;22;;;13002.0;-106.0
1;2200;ASH_COATED_OSMIUM;10003;11;10000;20;;;;;;;;;10003.0;-19.1875
1;2300;ASH_COATED_OSMIUM;10003;11;;;;;10019;11;;;;;10011.0;-19.2109375
1;2300;INTARIAN_PEPPER_ROOT;12995;10;12992;24;;;13009;10;13013;24;;;13002.0;-104.0
1;2400;INTARIAN_PEPPER_ROOT;12995;9;12992;23;;;13009;9;13013;23;;;13002.0;-102.0
1;2400;ASH_COATED_OSMIUM;10002;13;10000;20;;;10018;13;10021;20;;;10010.0;-17.82421875
1;2500;INTARIAN_PEPPER_ROOT;12992;23;;;;;13010;9;13013;23;;;13001.0;-100.0
1;2500;ASH_COATED_OSMIUM;10002;11;;;;;10018;11;10021;21;;;10010.0;-17.46484375
1;2600;INTARIAN_PEPPER_ROOT;12992;23;;;;;13010;9;;;;;13001.0;-98.0
