# Auto-generated deterministic taker schedule for OSM
# Extracted from 3-day R2 training CSVs; ts -> [(direction, qty), ...]
# n_scheduled_ticks = 178

OSM_SCHEDULE = {
    0: [("SELL", 6)],
    3600: [("BUY", 3)],
    4200: [("BUY", 2)],
    9100: [("SELL", 4)],
    9600: [("SELL", 6)],
    10000: [("SELL", 8)],
    12100: [("SELL", 5)],
    15100: [("BUY", 2), ("BUY", 8)],
    18500: [("BUY", 6)],
    23900: [("SELL", 4)],
    24300: [("SELL", 4)],
    24600: [("SELL", 3)],
    30400: [("BUY", 2)],
    32800: [("SELL", 4)],
    34000: [("BUY", 7)],
    34500: [("SELL", 8)],
    36500: [("BUY", 3)],
    37900: [("SELL", 4)],
    38400: [("BUY", 3)],
    39100: [("BUY", 6)],
    39900: [("BUY", 7)],
    41500: [("BUY", 5)],
    50900: [("SELL", 5)],
    54600: [("SELL", 6)],
    58400: [("SELL", 3)],
    59500: [("BUY", 2)],
    62000: [("BUY", 6)],
    63700: [("SELL", 2)],
    64900: [("BUY", 4)],
    65300: [("SELL", 2)],
    76300: [("SELL", 6)],
    76500: [("BUY", 8)],
    83700: [("BUY", 2)],
    85500: [("SELL", 7)],
    85700: [("BUY", 3)],
    85900: [("SELL", 5)],
    87900: [("SELL", 5)],
    88300: [("BUY", 2)],
    90200: [("BUY", 10)],
    90800: [("SELL", 6)],
    116100: [("SELL", 8)],
    122000: [("BUY", 10)],
    149500: [("BUY", 9)],
    155300: [("BUY", 10)],
    155500: [("BUY", 6)],
    155700: [("BUY", 7)],
    177700: [("SELL", 10)],
    185900: [("SELL", 10)],
    192600: [("SELL", 8)],
    192900: [("BUY", 10)],
    197300: [("SELL", 9)],
    200600: [("BUY", 2)],
    200700: [("BUY", 8)],
    206600: [("SELL", 7)],
    208900: [("SELL", 10)],
    226200: [("SELL", 6)],
    228000: [("SELL", 5)],
    235600: [("SELL", 8)],
    241700: [("SELL", 7)],
    243700: [("BUY", 6)],
    246200: [("SELL", 9)],
    252400: [("BUY", 7)],
    258300: [("BUY", 9)],
    259400: [("SELL", 8)],
    260500: [("BUY", 7)],
    265000: [("SELL", 8)],
    267000: [("SELL", 9)],
    297000: [("BUY", 9)],
    301600: [("SELL", 9)],
    306200: [("SELL", 6)],
    306500: [("BUY", 5)],
    307600: [("SELL", 5)],
    310000: [("BUY", 9)],
    323500: [("SELL", 6)],
    329000: [("SELL", 9)],
    331800: [("BUY", 8)],
    332800: [("BUY", 5)],
    335800: [("SELL", 6)],
    336400: [("BUY", 9)],
    337300: [("SELL", 7)],
    353000: [("SELL", 5)],
    356700: [("BUY", 9)],
    361400: [("SELL", 6)],
    380900: [("SELL", 8)],
    383000: [("BUY", 6)],
    389800: [("BUY", 10)],
    389900: [("SELL", 7)],
    390400: [("SELL", 9)],
    401700: [("BUY", 9)],
    407400: [("BUY", 8)],
    425200: [("BUY", 6)],
    425800: [("SELL", 7)],
    433700: [("SELL", 6)],
    439100: [("BUY", 5)],
    439800: [("BUY", 7)],
    442700: [("BUY", 6)],
    444200: [("BUY", 10)],
    445000: [("BUY", 8)],
    449100: [("SELL", 8)],
    452300: [("BUY", 7)],
    453400: [("SELL", 6)],
    468100: [("SELL", 8)],
    471900: [("BUY", 6)],
    477200: [("SELL", 6)],
    489700: [("BUY", 7)],
    498900: [("SELL", 8)],
    511700: [("BUY", 6)],
    512800: [("SELL", 7)],
    547300: [("SELL", 9)],
    552900: [("SELL", 10)],
    554400: [("SELL", 10)],
    557700: [("SELL", 8)],
    560300: [("BUY", 6)],
    566600: [("BUY", 7)],
    567300: [("SELL", 10)],
    574100: [("BUY", 5)],
    583900: [("BUY", 7)],
    584000: [("BUY", 8)],
    600600: [("SELL", 6)],
    612000: [("BUY", 2)],
    615600: [("BUY", 5)],
    620700: [("BUY", 8)],
    624500: [("SELL", 6)],
    628900: [("BUY", 6)],
    639100: [("BUY", 8)],
    645700: [("BUY", 8)],
    653900: [("SELL", 6)],
    654800: [("SELL", 6)],
    656900: [("SELL", 10)],
    673600: [("SELL", 10)],
    681200: [("BUY", 9)],
    685400: [("BUY", 7)],
    689500: [("BUY", 6)],
    705400: [("SELL", 7)],
    710200: [("BUY", 8)],
    714900: [("BUY", 5)],
    725700: [("SELL", 8)],
    726200: [("SELL", 5)],
    729100: [("BUY", 8)],
    730400: [("BUY", 6)],
    731200: [("BUY", 9)],
    734900: [("SELL", 5)],
    739500: [("SELL", 10)],
    742000: [("BUY", 5)],
    756900: [("SELL", 5)],
    757200: [("SELL", 9)],
    775000: [("BUY", 4)],
    777200: [("BUY", 10)],
    782500: [("BUY", 7)],
    788000: [("BUY", 5)],
    793700: [("BUY", 10)],
    802000: [("BUY", 5)],
    803100: [("BUY", 5)],
    821100: [("BUY", 8)],
    835700: [("BUY", 8)],
    836800: [("SELL", 7)],
    847800: [("SELL", 7)],
    848300: [("SELL", 5)],
    864800: [("BUY", 8)],
    865000: [("SELL", 6)],
    877900: [("SELL", 7)],
    887700: [("BUY", 6)],
    892900: [("BUY", 8)],
    899200: [("BUY", 5)],
    905000: [("SELL", 10)],
    909900: [("BUY", 8)],
    917900: [("BUY", 5)],
    921200: [("BUY", 10)],
    923800: [("SELL", 4)],
    932600: [("BUY", 10)],
    935900: [("SELL", 8)],
    939500: [("BUY", 9)],
    946100: [("SELL", 10)],
    948400: [("BUY", 7)],
    976500: [("SELL", 6)],
    986800: [("SELL", 6)],
    991400: [("SELL", 9)],
    993300: [("SELL", 5)],
}
# Auto-generated deterministic taker schedule for PEP
# Extracted from 3-day R2 training CSVs; ts -> [(direction, qty), ...]
# n_scheduled_ticks = 102

PEP_SCHEDULE = {
    4400: [("BUY", 5)],
    5000: [("SELL", 5)],
    23000: [("SELL", 4)],
    23100: [("BUY", 4)],
    30400: [("BUY", 6)],
    34400: [("BUY", 3)],
    35700: [("BUY", 7), ("SELL", 3)],
    35800: [("BUY", 7)],
    42800: [("BUY", 5)],
    44700: [("BUY", 8)],
    51400: [("SELL", 4)],
    57000: [("BUY", 4)],
    64300: [("BUY", 3)],
    71500: [("BUY", 4)],
    73700: [("SELL", 4)],
    77200: [("SELL", 3)],
    80200: [("SELL", 5)],
    84400: [("SELL", 5)],
    84600: [("BUY", 6)],
    84800: [("SELL", 5)],
    91700: [("BUY", 8)],
    92500: [("BUY", 7)],
    107000: [("BUY", 7)],
    117500: [("SELL", 6)],
    122400: [("BUY", 7)],
    127800: [("SELL", 3)],
    129500: [("BUY", 3)],
    131100: [("BUY", 4)],
    132300: [("SELL", 3)],
    138000: [("SELL", 4)],
    141900: [("SELL", 4)],
    148200: [("SELL", 7)],
    164200: [("BUY", 7)],
    177900: [("SELL", 5)],
    191800: [("SELL", 4)],
    194900: [("BUY", 6)],
    198600: [("SELL", 5)],
    199400: [("BUY", 5)],
    204000: [("BUY", 7)],
    204600: [("SELL", 5)],
    207500: [("BUY", 3)],
    212100: [("SELL", 4)],
    215000: [("BUY", 7)],
    217000: [("BUY", 5)],
    220600: [("BUY", 4)],
    224300: [("BUY", 3)],
    225000: [("SELL", 7)],
    234600: [("BUY", 4)],
    237500: [("BUY", 4)],
    239700: [("BUY", 7)],
    242000: [("BUY", 7)],
    248700: [("SELL", 4)],
    260100: [("BUY", 5)],
    264100: [("SELL", 7)],
    267500: [("SELL", 3)],
    270700: [("BUY", 6)],
    300000: [("BUY", 7)],
    301400: [("BUY", 7)],
    306000: [("SELL", 5)],
    311200: [("SELL", 3)],
    314400: [("BUY", 6)],
    327400: [("SELL", 6)],
    327600: [("BUY", 3)],
    331500: [("SELL", 3)],
    344000: [("BUY", 3)],
    361600: [("BUY", 5)],
    365400: [("BUY", 7)],
    372300: [("BUY", 6)],
    376700: [("BUY", 7)],
    401000: [("BUY", 8)],
    436100: [("SELL", 5)],
    453000: [("SELL", 3)],
    453800: [("BUY", 7)],
    466000: [("BUY", 3)],
    473000: [("SELL", 4)],
    500000: [("SELL", 3)],
    556700: [("BUY", 8)],
    561300: [("BUY", 3)],
    564900: [("BUY", 6)],
    566100: [("BUY", 3)],
    612300: [("BUY", 8)],
    673600: [("SELL", 6)],
    690600: [("SELL", 5)],
    701000: [("BUY", 4)],
    737500: [("SELL", 3)],
    766000: [("SELL", 4)],
    775500: [("SELL", 7)],
    787000: [("SELL", 6)],
    796100: [("SELL", 5)],
    796600: [("SELL", 7)],
    815900: [("SELL", 3)],
    825200: [("SELL", 4)],
    825700: [("SELL", 6)],
    844800: [("BUY", 5)],
    845400: [("BUY", 7)],
    887000: [("SELL", 4)],
    898100: [("BUY", 8)],
    927200: [("SELL", 3)],
    936600: [("BUY", 8)],
    942700: [("BUY", 3)],
    959100: [("SELL", 3)],
    977200: [("BUY", 5)],
}
