ts,pnl
0,0.0000
200,0.0000
400,0.0000
600,12.4531
800,10.7578
1000,8.2266
1200,8.6094
1400,6.3828
1600,-65.1094
1800,-63.8594
2000,-67.9766
2200,-70.1719
2400,-65.2422
2600,-57.3828
2800,-17.6953
3000,-11.9922
3200,-5.5781
3400,-2.8203
3600,-70.8750
3800,-42.2734
4000,-42.2500
4200,-46.0156
4400,-29.6094
4600,-34.5000
4800,-13.6719
5000,-10.1094
5200,30.3125
5400,32.6562
5600,-5.0938
5800,19.5000
6000,26.2812
6200,47.6562
6400,54.0156
6600,66.6094
6800,73.6406
7000,75.2500
7200,80.4375
7400,89.2656
7600,22.9844
7800,52.0469
8000,83.8125
8200,96.3281
8400,71.9688
8600,90.7969
8800,111.9062
9000,117.5625
9200,132.0312
9400,150.0938
9600,108.9062
9800,170.1719
10000,229.5156
10200,314.6562
10400,323.7656
10600,337.0156
10800,385.2500
11000,413.3594
11200,434.9219
11400,455.6719
11600,468.5469
11800,486.3125
12000,509.5938
12200,549.9844
12400,569.8281
12600,587.4375
12800,616.0156
13000,631.8281
13200,645.1719
13400,669.5469
13600,680.9688
13800,703.5312
14000,717.8906
14200,757.8906
14400,767.7969
14600,796.6406
14800,820.9062
15000,823.8438
15200,883.1875
15400,886.6875
15600,890.5625
15800,920.4062
16000,941.8750
16200,925.1875
16400,942.1875
16600,957.9062
16800,958.6250
17000,979.2500
17200,1010.6875
17400,1044.0625
17600,1046.2500
17800,1068.7812
18000,1100.8750
18200,1116.8750
18400,1128.0312
18600,1211.3750
18800,1225.3438
19000,1244.6250
19200,1259.1250
19400,1279.6250
19600,1286.8438
19800,1337.0938
20000,1380.6562
20200,1371.2500
20400,1421.4062
20600,1451.9062
20800,1481.5938
21000,1524.3125
21200,1526.3438
21400,1521.3438
21600,1517.5312
21800,1526.9375
22000,1560.6562
22200,1573.0938
22400,1581.8438
22600,1608.7500
22800,1612.1875
23000,1630.6875
23200,1632.9375
23400,1637.3438
23600,1653.2500
23800,1689.4375
24000,1717.8125
24200,1750.7812
24400,1804.6875
24600,1834.1875
24800,1867.7188
25000,1856.5000
25200,1898.5625
