ts,total_pnl
0,0.0000
100,42.4570
200,44.9219
300,42.5547
400,43.0000
500,45.0078
600,-12.9414
700,-12.0703
800,-9.8750
900,-9.1797
1000,-6.1719
1100,-6.2109
1200,-4.6523
1300,-1.8516
1400,-1.1875
1500,-66.2031
1600,-132.9727
1700,-129.0352
1800,-126.2578
1900,-121.8594
2000,-115.5156
2100,-110.5469
2200,-106.2188
2300,-103.1836
2400,-102.2656
2500,-99.8047
2600,-100.5156
2700,-98.7500
2800,-55.4219
2900,-54.5469
3000,-49.2578
3100,-47.8906
3200,-43.6250
3300,-40.6211
3400,-35.2109
3500,-110.1562
3600,-108.1484
3700,-83.2734
3800,-76.8027
3900,-85.0410
4000,-79.5312
4100,-74.6777
4200,-79.4492
4300,-63.2109
4400,-56.7891
4500,-55.0938
4600,-51.0938
4700,-42.4531
4800,-35.3984
4900,-46.9766
5000,-40.4297
5100,12.3047
5200,18.2500
5300,22.4375
5400,28.7500
5500,-18.0078
5600,-7.6250
5700,-0.7344
5800,27.1719
5900,32.4844
6000,41.0000
6100,50.5391
6200,60.5000
6300,67.5078
6400,74.1484
6500,80.7656
6600,90.2578
6700,98.5469
6800,104.1797
6900,114.3203
7000,107.7812
7100,119.5781
7200,120.3750
7300,123.1719
7400,132.2812
7500,137.9688
7600,140.5312
7700,153.7344
7800,165.2031
7900,175.9062
8000,191.3750
8100,192.8594
8200,206.7656
8300,205.2344
8400,201.5156
8500,215.3906
8600,220.4688
8700,231.6875
8800,240.6875
8900,245.7344
9000,252.2344
9100,263.2344
9200,311.8984
9300,320.0000
9400,328.8359
9500,341.3359
9600,349.2500
9700,414.0020
9800,421.1094
9900,430.1211
10000,461.8066
10100,540.9453
10200,551.3242
10300,561.2031
10400,569.4961
10500,575.9453
10600,586.2422
10700,590.4062
10800,608.0000
10900,616.0000
11000,624.0000
11100,632.0000
11200,640.0000
11300,648.0000
11400,656.0000
11500,664.0000
11600,672.0000
11700,680.0000
11800,688.0000
11900,696.0000
12000,704.0000
12100,712.0000
12200,751.5469
12300,759.5938
12400,766.1406
12500,773.1250
12600,781.4375
12700,789.1797
12800,796.3281
12900,805.6680
13000,812.3906
13100,822.4141
13200,829.2773
13300,835.5781
13400,842.4844
13500,851.1641
13600,860.0078
13700,865.9844
13800,873.8203
13900,880.3594
14000,890.3711
14100,918.3398
14200,917.8086
14300,925.2188
14400,933.2539
14500,941.9453
14600,950.4219
14700,958.8730
14800,967.1738
14900,974.3027
15000,981.9863
15100,988.5352
15200,1064.1953
15300,1075.8906
15400,1075.5078
15500,1081.8672
15600,1086.9609
15700,1098.6094
15800,1108.1562
15900,1112.9297
16000,1126.2031
16100,1133.8438
16200,1122.5312
16300,1130.7969
16400,1138.9688
16500,1151.2969
16600,1154.8438
16700,1153.0000
16800,1164.0625
16900,1169.4062
17000,1182.1094
17100,1192.7656
17200,1204.9688
17300,1216.0469
17400,1228.6875
17500,1236.6094
17600,1238.5625
17700,1245.1719
17800,1257.4531
17900,1268.5938
18000,1280.6094
18100,1287.3125
18200,1296.6094
18300,1304.1250
18400,1310.4531
18500,1319.4688
18600,1371.6719
18700,1378.7969
18800,1386.6094
18900,1398.5312
19000,1404.3281
19100,1406.0312
19200,1419.5469
19300,1432.4062
19400,1437.8906
19500,1443.8750
19600,1449.2969
19700,1465.8438
19800,1483.2344
19900,1499.5625
20000,1513.6719
20100,1521.5469
20200,1516.3750
20300,1532.0469
20400,1550.2656
20500,1559.4062
20600,1573.8438
20700,1595.9062
20800,1597.0312
20900,1608.9219
21000,1627.0156
21100,1627.3594
21200,1635.7031
21300,1636.6875
21400,1640.7031
21500,1635.0469
21600,1646.3281
21700,1654.6250
21800,1658.8750
21900,1671.3438
22000,1684.1562
22100,1684.9062
22200,1698.2812
22300,1704.2031
22400,1710.4844
22500,1718.5469
22600,1732.2031
22700,1736.1875
22800,1741.6250
22900,1744.6562
23000,1758.9375
23100,1767.0156
23200,1767.7344
23300,1763.2188
23400,1777.6562
23500,1789.4219
23600,1793.6094
23700,1806.9688
23800,1820.1875
23900,1814.9688
24000,1863.8125
24100,1871.6719
24200,1887.8438
24300,1897.3125
24400,1997.0000
24500,2007.5000
24600,2018.5469
24700,2056.1250
24800,2062.9688
24900,2066.9609
25000,2069.3125
25100,2079.5000
25200,2102.9688
25300,2117.2344
25400,2138.1094
25500,2149.5156
25600,2160.9688
25700,2178.0000
25800,2183.6406
25900,2197.3594
26000,2202.4375
26100,2223.5312
26200,2227.7969
26300,2235.0938
26400,2247.6719
26500,2255.7500
26600,2262.3125
26700,2259.8125
26800,2279.3906
26900,2297.6875
27000,2299.6875
27100,2302.7656
27200,2323.9531
27300,2343.7031
27400,2348.3125
27500,2363.4375
27600,2366.8906
27700,2373.3281
27800,2377.2812
27900,2387.7344
28000,2392.5156
28100,2395.2344
28200,2405.4531
28300,2417.4688
28400,2427.6719
28500,2440.0312
28600,2454.0312
28700,2462.2344
28800,2477.3438
28900,2484.2969
