label,ts,product,price,qty,side,bp1,bv1,ap1,av1,spread,mid,imb,mid_fwd_1,mid_fwd_10,mid_fwd_50,dt_last_take
R1,1000,ASH_COATED_OSMIUM,10001.0,3,sell,10001,14,10019,30,18,10010.0,-0.36363636363636365,-1.0,0.0,-2.0,-1
R1,9900,ASH_COATED_OSMIUM,9996.0,6,None,0,0,0,0,0,0,0.0,nan,nan,nan,8900
R1,10100,INTARIAN_PEPPER_ROOT,13017.0,6,buy,13000,15,13017,10,17,13008.5,0.2,1.5,2.5,5.0,-1
R1,20200,INTARIAN_PEPPER_ROOT,13016.0,2,buy,13013,9,13016,5,3,13014.5,0.2857142857142857,4.0,6.5,12.0,10100
R1,21900,INTARIAN_PEPPER_ROOT,13015.0,3,sell,13015,8,13029,8,14,13022.0,0.0,0.0,1.0,5.0,1700
R1,31700,INTARIAN_PEPPER_ROOT,13035.0,4,sell,13035,4,13039,12,4,13037.0,-0.5,-5.0,-2.5,0.0,9800
R1,33800,ASH_COATED_OSMIUM,9992.0,10,None,0,0,0,0,0,0,0.0,nan,nan,nan,23900
R1,40400,INTARIAN_PEPPER_ROOT,13033.0,6,sell,13033,9,13051,15,18,13042.0,-0.25,-5.5,1.0,3.0,8700
R1,41300,INTARIAN_PEPPER_ROOT,13034.0,7,sell,13034,10,13048,10,14,13041.0,0.0,2.0,1.0,7.0,900
R1,43600,INTARIAN_PEPPER_ROOT,13039.0,4,buy,13037,9,13039,4,2,13038.0,0.38461538461538464,6.0,7.0,11.0,2300
R1,47700,INTARIAN_PEPPER_ROOT,13043.0,4,buy,13041,11,13043,4,2,13042.0,0.4666666666666667,6.0,7.0,11.0,4100
R1,49600,INTARIAN_PEPPER_ROOT,13043.0,3,sell,13043,12,13057,12,14,13050.0,0.0,0.0,-1.0,5.0,1900
R1,49800,INTARIAN_PEPPER_ROOT,13045.0,3,buy,13043,9,13045,3,2,13044.0,0.5,6.0,8.5,11.0,200
R1,59000,ASH_COATED_OSMIUM,9998.0,6,None,0,0,0,0,0,0,0.0,nan,nan,nan,25200
R1,61200,ASH_COATED_OSMIUM,9999.0,4,None,0,0,0,0,0,0,0.0,nan,nan,nan,2200
R1,65600,ASH_COATED_OSMIUM,10003.0,4,sell,10003,1,10016,20,13,10009.5,-0.9047619047619048,1.0,-3.5,-3.5,4400
R1,65700,INTARIAN_PEPPER_ROOT,13061.0,8,buy,13055,21,13061,8,6,13058.0,0.4482758620689655,5.5,9.0,13.0,15900
R1,66100,INTARIAN_PEPPER_ROOT,13059.0,7,sell,13059,11,13073,11,14,13066.0,0.0,1.5,-0.5,5.0,400
R1,68300,INTARIAN_PEPPER_ROOT,13061.0,6,sell,13061,9,13075,9,14,13068.0,0.0,2.0,3.0,3.5,2200
R1,82300,ASH_COATED_OSMIUM,10016.0,2,buy,9997,30,10016,11,19,10006.5,0.4634146341463415,0.5,0.5,-4.5,16700
R1,83600,ASH_COATED_OSMIUM,10000.0,7,sell,10000,12,10016,12,16,10008.0,0.0,-1.0,-4.0,-5.0,1300
R1,86900,ASH_COATED_OSMIUM,10010.0,8,buy,9994,14,10010,14,16,10002.0,0.0,0.0,-1.0,2.0,3300
R1,91100,INTARIAN_PEPPER_ROOT,13095.0,6,sell,13095,6,13098,11,3,13096.5,-0.29411764705882354,-5.5,-4.5,1.0,22800
R1,96800,ASH_COATED_OSMIUM,10009.0,6,buy,9993,14,10009,14,16,10001.0,0.0,1.0,6.5,1.0,9900
R1,99500,INTARIAN_PEPPER_ROOT,13092.0,3,sell,13092,8,13107,8,15,13099.5,0.0,2.0,1.0,5.0,8400
R1,104400,INTARIAN_PEPPER_ROOT,13108.0,6,None,0,0,0,0,0,0,0.0,nan,nan,nan,4900
R1,123500,INTARIAN_PEPPER_ROOT,13116.0,5,None,0,0,0,0,0,0,0.0,nan,nan,nan,19100
R1,129500,INTARIAN_PEPPER_ROOT,13122.0,3,sell,13122,9,13140,18,18,13131.0,-0.3333333333333333,-1.5,1.0,5.0,6000
R1,135500,INTARIAN_PEPPER_ROOT,13131.0,7,buy,13128,12,13131,7,3,13129.5,0.2631578947368421,6.5,7.0,12.5,6000
R1,140100,INTARIAN_PEPPER_ROOT,13144.0,4,sell,13144,4,13150,20,6,13147.0,-0.6666666666666666,-7.0,-6.0,-2.0,4600
R1,142000,INTARIAN_PEPPER_ROOT,13145.0,6,sell,13145,6,13149,10,4,13147.0,-0.25,-5.0,-4.0,-1.5,1900
R1,150600,INTARIAN_PEPPER_ROOT,13144.0,5,sell,13144,9,13158,9,14,13151.0,0.0,5.0,1.0,5.0,8600
