sub,timestamp,product,side,size,price,mid_at_fill,edge_at_fill,mid_plus_10,mid_plus_50,mid_plus_200,adverse_N2_M10,adverse_N4_M50,realized_pnl_fifo,inv_before,inv_after
297226,0,INTARIAN_PEPPER_ROOT,BUY,9,13007.0,13000.0,-7.0,13001.0,13005.0,13020.0,0,0,0.0,0,9
297226,0,INTARIAN_PEPPER_ROOT,BUY,25,13010.0,13000.0,-10.0,13001.0,13005.0,13020.0,0,0,0.0,9,34
297226,100,INTARIAN_PEPPER_ROOT,BUY,8,13007.0,13000.0,-7.0,13001.0,13005.0,13020.0,0,0,0.0,34,42
297226,100,INTARIAN_PEPPER_ROOT,BUY,22,13010.0,13000.0,-10.0,13001.0,13005.0,13020.0,0,0,0.0,42,64
297226,200,INTARIAN_PEPPER_ROOT,BUY,9,13007.0,13000.0,-7.0,13001.0,13005.0,13020.0,0,0,0.0,64,73
297226,200,INTARIAN_PEPPER_ROOT,BUY,7,13010.0,13000.0,-10.0,13001.0,13005.0,13020.0,0,0,0.0,73,80
297226,400,ASH_COATED_OSMIUM,SELL,8,10010.0,10013.0,-3.0,10008.0,10009.0,10003.0,0,0,0.0,0,-8
297226,3600,ASH_COATED_OSMIUM,SELL,3,10016.0,10007.5,8.5,10010.0,10009.0,10004.0,1,0,0.0,-8,-11
297226,3800,ASH_COATED_OSMIUM,SELL,5,10006.0,10011.5,-5.5,10009.0,10008.0,10004.0,0,0,0.0,-11,-16
297226,4200,ASH_COATED_OSMIUM,SELL,2,10016.0,10009.0,7.0,10010.0,10009.5,10003.0,0,0,0.0,-16,-18
297226,4400,INTARIAN_PEPPER_ROOT,SELL,5,13014.0,13004.5,9.5,13007.0,13011.0,13024.0,1,1,35.0,80,75
297226,5000,INTARIAN_PEPPER_ROOT,BUY,5,12999.0,13005.0,6.0,13006.0,13011.5,13025.0,0,0,0.0,75,80
297226,7200,ASH_COATED_OSMIUM,SELL,2,10006.0,10011.5,-5.5,10006.5,9997.0,10000.0,0,0,0.0,-18,-20
297226,9600,ASH_COATED_OSMIUM,BUY,6,10000.0,10007.0,7.0,10006.5,10005.0,9999.0,0,0,60.0,-20,-14
297226,10000,ASH_COATED_OSMIUM,BUY,8,10000.0,10007.0,7.0,10002.5,10001.0,9999.0,1,1,86.0,-14,-6
297226,10700,ASH_COATED_OSMIUM,SELL,5,10009.0,10013.5,-4.5,10006.0,10006.0,10000.0,0,0,0.0,-6,-11
297226,12100,ASH_COATED_OSMIUM,BUY,5,9996.0,10004.5,8.5,10005.0,10007.5,10000.0,0,0,70.0,-11,-6
297226,14000,ASH_COATED_OSMIUM,SELL,3,10011.0,10004.0,7.0,10001.0,10005.0,10002.0,0,0,0.0,-6,-9
297226,14100,ASH_COATED_OSMIUM,SELL,4,10002.0,10007.0,-5.0,10005.0,10004.0,9994.0,0,0,0.0,-9,-13
297226,15100,ASH_COATED_OSMIUM,SELL,2,10012.0,10005.0,7.0,10008.0,10005.0,10002.0,1,0,0.0,-13,-15
297226,15100,ASH_COATED_OSMIUM,SELL,8,10012.0,10005.0,7.0,10008.0,10005.0,10002.0,1,0,0.0,-15,-23
297226,16100,ASH_COATED_OSMIUM,SELL,4,10003.0,10008.0,-5.0,10007.5,10001.0,10002.0,0,0,0.0,-23,-27
297226,18500,ASH_COATED_OSMIUM,SELL,6,10012.0,10005.0,7.0,10004.0,10005.0,10000.0,0,0,0.0,-27,-33
297226,23900,ASH_COATED_OSMIUM,BUY,4,9995.0,10003.0,8.0,10002.0,9997.5,10002.0,0,1,53.0,-33,-29
297226,24300,ASH_COATED_OSMIUM,BUY,4,9996.0,10003.0,7.0,10003.0,10000.0,10002.0,0,0,56.0,-29,-25
297226,24600,ASH_COATED_OSMIUM,BUY,3,9996.0,10003.0,7.0,10002.0,9999.0,10001.0,0,0,27.0,-25,-22
297226,25100,ASH_COATED_OSMIUM,SELL,8,10005.0,10008.5,-3.5,10001.0,9999.0,10002.0,0,0,0.0,-22,-30
297226,30400,ASH_COATED_OSMIUM,SELL,2,10007.0,10000.0,7.0,10000.0,10003.0,10002.5,0,0,0.0,-30,-32
297226,30400,INTARIAN_PEPPER_ROOT,SELL,6,13040.0,13032.0,8.0,13031.0,13035.0,13050.0,0,0,192.0,80,74
297226,32800,ASH_COATED_OSMIUM,BUY,9,9998.0,9994.0,-4.0,9994.0,10006.5,10003.0,0,0,106.0,-32,-23
297226,32800,ASH_COATED_OSMIUM,BUY,4,9991.0,9994.0,3.0,9994.0,10006.5,10003.0,0,0,75.0,-23,-19
297226,34000,ASH_COATED_OSMIUM,SELL,7,10009.0,10002.0,7.0,10002.0,10001.5,10004.0,0,0,0.0,-19,-26
297226,34400,INTARIAN_PEPPER_ROOT,SELL,3,13040.0,13032.5,7.5,13035.0,13039.0,13054.0,1,1,90.0,74,71
297226,34500,ASH_COATED_OSMIUM,BUY,8,9995.0,10002.0,7.0,10002.0,9991.0,10004.0,0,1,109.0,-26,-18
297226,35700,INTARIAN_PEPPER_ROOT,SELL,7,13045.0,13042.5,2.5,13030.0,13041.0,13058.0,0,0,245.0,71,64
297226,35800,INTARIAN_PEPPER_ROOT,BUY,7,13031.0,13030.0,-1.0,13037.0,13041.0,13056.0,0,0,0.0,64,71
297226,36500,ASH_COATED_OSMIUM,SELL,3,10012.0,10002.5,9.5,10001.0,10009.0,10002.5,0,1,0.0,-18,-21
297226,37800,ASH_COATED_OSMIUM,SELL,8,10002.0,10006.5,-4.5,9999.5,10003.0,10005.0,0,0,0.0,-21,-29
297226,37900,ASH_COATED_OSMIUM,BUY,4,9993.0,10000.0,7.0,10000.0,10002.5,10005.0,0,0,55.0,-29,-25
297226,38400,ASH_COATED_OSMIUM,SELL,3,10007.0,10000.0,7.0,9999.0,10001.0,9997.0,0,0,0.0,-25,-28
297226,38400,INTARIAN_PEPPER_ROOT,BUY,8,13034.0,13032.5,-1.5,13039.0,13043.5,13058.0,0,0,0.0,71,79
297226,38500,INTARIAN_PEPPER_ROOT,BUY,1,13032.0,13040.0,8.0,13039.5,13054.0,13057.0,0,0,0.0,79,80
297226,39100,ASH_COATED_OSMIUM,SELL,6,10007.0,10000.0,7.0,10000.0,10001.0,10007.0,0,0,0.0,-28,-34
297226,39900,ASH_COATED_OSMIUM,SELL,7,10009.0,10001.0,8.0,10001.0,10002.0,10015.0,0,0,0.0,-34,-41
297226,41800,ASH_COATED_OSMIUM,SELL,5,10003.0,10007.5,-4.5,10003.0,10002.0,10008.0,0,0,0.0,-41,-46
297226,42800,INTARIAN_PEPPER_ROOT,SELL,5,13049.0,13043.0,6.0,13045.5,13049.5,13063.0,1,1,195.0,80,75
297226,43000,INTARIAN_PEPPER_ROOT,BUY,5,13039.0,13037.5,-1.5,13044.0,13041.0,13063.0,0,0,0.0,75,80
297226,44200,ASH_COATED_OSMIUM,BUY,8,10000.0,9996.0,-4.0,9998.0,10003.0,10005.0,0,0,48.0,-46,-38
297226,44800,ASH_COATED_OSMIUM,BUY,8,9999.0,9996.5,-2.5,10002.0,10002.0,10004.5,0,0,86.0,-38,-30
297226,46500,ASH_COATED_OSMIUM,SELL,9,10004.0,10007.0,-3.0,10000.5,10004.0,10007.0,0,0,0.0,-30,-39
